k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
-0.021753053197587108,1.0116272582468504,0.9911568846200223,-1.012001713995998,-1.0169913441939915,-0.9825232889398334,-0.51,-2.06,-0.54,-0.46,-2.19,-1.93
6.01730488460836e-05,1.010200936856788,1.0101880464850614,-1.0050476390900986,-0.9995930883686227,-1.004628174903802,-0.54,-2.02,-0.57,-0.4,-2.13,-1.95
-0.005854160720606665,1.0021346910538935,0.9752408050839527,-1.0099008928050006,-1.016724703330694,-1.0030477050125273,-0.5,-2.02,-0.54,-0.46,-2.13,-1.94
0.003896196383915319,0.9922501577934966,0.9955883037416096,-1.0086350537477142,-1.0049552712602616,-0.9954538896053429,-0.5,-2.03,-0.54,-0.47,-2.12,-1.95
-5.8794246271279445e-05,1.013709352496039,0.9929647466949199,-0.9850386612209932,-0.9982252399011623,-0.9965285985944041,-0.49,-1.96,-0.54,-0.45,-2.04,-1.88
-0.0036898707293555244,0.9947054420924564,1.008094913828669,-1.0071021423507398,-1.0013301677482565,-0.9959761560353314,-0.5,-1.92,-0.53,-0.47,-2.02,-1.82
0.023941089641639053,0.9760235089933476,1.0020098159331807,-0.9929395726042458,-0.9953185813696392,-0.9891432281556878,-0.48,-1.97,-0.51,-0.45,-2.04,-1.92
-0.0034022468101240887,1.0056177107354012,1.0212226135532267,-0.9966918194080534,-0.9847769849284306,-0.9941351117829251,-0.5,-1.98,-0.52,-0.49,-2.04,-1.9
0.002954700456305664,0.9883363050538005,0.9803989771226943,-0.9904530317745147,-1.0007349855777679,-0.9953274690191231,-0.48,-2.02,-0.52,-0.45,-2.1,-1.96
0.014228119412535791,1.0127989063259781,0.965424807391549,-1.002222901366195,-1.0032138582327554,-1.0005363903806006,-0.5,-2.05,-0.51,-0.49,-2.09,-2.0
-0.04027238837611824,1.006690316658202,0.9822570146631697,-1.0194529394235317,-1.0033202839640545,-1.0035361477721163,-0.49,-2.01,-0.53,-0.45,-2.16,-1.88
-0.0004259516375159754,0.9964207574201925,1.0118131363137142,-0.9920014364080645,-1.0064823917506054,-0.9923651212455562,-0.5,-1.94,-0.51,-0.49,-2.03,-1.86
