k,rho,nu,beta,delta,sigma,lower,upper
-0.02071408969054707,0.9875629903104769,1.0355023944181916,-1.0162144341757862,-1.0156873539087923,-1.88,-2.0,-1.78
-0.008333928774515609,1.0177970977112065,0.9954087724158991,-1.0050649158652503,-0.9963817837760708,-1.92,-2.02,-1.84
-0.024866475292692716,1.0249673847711542,0.9909243294666201,-0.9968110253342282,-0.9906842889466005,-2.05,-2.16,-1.95
0.016351653548278944,0.996471655313699,1.0024090220351964,-0.9971114669927259,-0.9888311515190469,-1.98,-2.08,-1.88
0.029031841698517483,0.9525232394606478,0.9857313578367777,-0.9930190691915203,-0.9835085612231635,-2.05,-2.16,-1.97
0.02326345892860763,0.9952354293396042,0.9747698169654646,-1.0016879988947047,-0.9942852059713898,-1.96,-2.09,-1.84
-3.5124596664796656e-05,1.0050862664214812,0.9903715036218836,-0.9997303347897344,-1.0043876177269913,-1.97,-2.04,-1.9
0.018151488749412293,0.9988138476149828,1.0185932624577776,-0.9824858906778534,-0.9786512842896485,-2.07,-2.16,-1.98
-0.025300028541587284,1.052704418165011,0.9940495066706905,-1.0085248074242,-1.0006457114485743,-1.94,-2.02,-1.86
0.0069329893215191295,0.9704041157495733,0.9967214210075329,-1.0060709929174425,-1.0085476802772604,-2.05,-2.13,-1.98
-0.0406979713005171,1.0115260457673036,1.0323387792696108,-0.9980914219810828,-1.0140179917436338,-2.08,-2.21,-1.96
0.02032660805137247,0.9999358258471795,0.9966070436378269,-0.986252412931233,-0.988973920766103,-2.01,-2.15,-1.88
-0.04673603969745066,1.0061230025575985,1.0578040877187695,-1.009111369931858,-1.001714692474186,-2.04,-2.12,-1.97
0.01708155737485338,0.9674258593728657,0.9877428482769361,-1.006211021930734,-0.9977088610928935,-2.01,-2.1,-1.93
0.025744631002899025,0.9947049806767572,1.0109340968280272,-0.9884298095694009,-0.994472431612639,-1.97,-2.05,-1.89
-0.01183006852027114,1.0141706732900126,0.9876999012644774,-1.0024783100428942,-1.005230245936029,-1.97,-2.08,-1.88
0.0032079132358274302,1.0031606092351186,1.0096019312596005,-1.0045268972501948,-0.9964628005228624,-1.93,-2.04,-1.82
-0.01645651910020648,0.9964518694338831,1.0497124696957498,-0.9924991306331972,-0.9907571631543137,-1.96,-2.07,-1.86
-0.01329289771086321,1.0032715984329768,0.9949790626475892,-1.00845217639531,-0.992817051147615,-2.05,-2.11,-1.98
0.015135498826007503,0.9925685703572835,0.9774132423634678,-1.006669228400235,-1.0124807361030834,-2.01,-2.15,-1.89
