k,rho,nu,beta,delta,sigma,lower,upper
0.3017998306600018,0.9125959841400778,0.8525461738369784,-0.8377010402925839,-1.1728261170960053,-0.59,-0.67,-0.5
-0.11005265958492794,0.9981259064269354,0.7179075027180508,-1.1893990003332986,-1.5682255551885522,-0.4,-0.59,-0.22
0.2764584703369324,1.0153523662341293,0.924468131491609,-0.8384310238155438,-1.1231555067730619,-0.64,-0.72,-0.55
0.08744893943396398,0.7922515527054435,1.0919368359744746,-1.0768409862932269,-1.305109425983984,-0.74,-0.82,-0.66
0.04378339895084343,1.2072953473139973,0.8454121451592926,-1.0127591733989878,-1.398957575967577,-0.7,-0.76,-0.64
0.49743961184304275,0.759756122813988,0.9135904134051918,-0.8640264632244783,-1.1226879578169884,-0.57,-0.66,-0.5
0.4319352430498049,0.6851986723682024,0.7767145252268788,-0.9079301575026468,-1.1695579133691547,-0.39,-0.45,-0.34
0.3914331052440915,1.1632089382091486,1.0660122643597,-0.8822876079397743,-1.1321836136382397,-0.65,-0.69,-0.6
0.5442119059735606,1.3561102305816872,0.8512951179482097,-0.6296318291825336,-0.8363750653550224,-0.51,-0.64,-0.36
0.45359577593787714,1.302602528070047,0.7198474145124352,-0.8505981426611463,-1.0443649334164784,-0.6,-0.64,-0.56
-0.23413630185453885,1.010858890717795,1.0522386762884457,-1.1397768985284227,-1.5936095934207795,-0.73,-0.81,-0.66
0.5958756832314592,1.007890001172617,1.0212204745363203,-0.6985450115554925,-0.8801499531161758,-0.54,-0.57,-0.51
0.5322469791190019,1.167147293611841,0.9148391202356991,-0.8174731398949691,-0.9477903164578021,-0.54,-0.58,-0.5
0.3609312080610063,1.0039448341809636,0.9376597308015121,-0.8813888273839727,-1.1045569053842876,-0.39,-0.46,-0.31
0.44098312677941964,1.1201931809186148,0.9102691773967111,-0.8900442550507855,-1.0814846326656182,-0.48,-0.52,-0.43
0.2032910792286063,1.3419432505161364,0.9707731945318414,-0.8111019894696049,-1.1387242558930937,-0.65,-0.7,-0.6
0.06160524141402051,1.2574432806352747,0.9596927127004857,-1.0012424118136058,-1.3409651827206304,-0.71,-0.77,-0.65
0.13102089206165377,0.641170419178682,0.8561169989445843,-1.1252986737272945,-1.3971728969807065,-0.63,-0.83,-0.42
-0.06164589094105191,1.3156619983730284,0.9565120356978682,-1.0847765908181368,-1.3989150794072676,-0.82,-0.89,-0.73
0.2962553017040015,1.147669513159855,0.9215498641397741,-0.8215744933415766,-1.120447777020105,-0.46,-0.5,-0.42
0.36672684650840426,1.049403977312114,0.8340136503275244,-0.883443567040207,-1.141021677138478,-0.53,-0.63,-0.41
0.4149448205964599,0.854056755921323,0.7810008282455947,-0.9096842606662127,-1.1600888220236316,-0.51,-0.58,-0.44
0.28369034643841107,1.5919445219773727,0.8652382584621844,-0.8409984018344651,-1.1678070508092873,-0.29,-0.42,-0.18
0.35559453395855434,1.4147237521408003,0.9035543876706668,-0.842821532206738,-1.0306904386851325,-0.48,-0.52,-0.43
0.35519720198294413,0.6387999450835323,0.9718652371996465,-0.9085346638320768,-1.0988798303610332,-0.58,-0.62,-0.55
0.3248912896852167,1.1588283032472946,1.0597511465133689,-0.8466957259895456,-1.0758919039029697,-0.55,-0.58,-0.51
0.21949999647336305,1.1496446013502188,0.772540174594139,-0.9852524989286696,-1.2693659762045653,-0.63,-0.69,-0.57
0.33207528963763333,0.7829623679507856,1.0670798094804357,-0.8661533847640266,-1.095784446028159,-0.64,-0.71,-0.58
-0.004827226473566135,1.3130194491424185,0.884228822228606,-1.0293844485286665,-1.2610905029012,-0.72,-0.75,-0.7
0.4025426497998206,1.180680345845845,0.882056172849401,-0.9276462037611799,-1.0492510896736258,-0.48,-0.53,-0.42
0.3448066990283307,0.9163877298928345,0.9136547577984359,-0.9165933248533775,-1.24899760597599,-0.57,-0.63,-0.51
0.4621457176415491,0.7694460707804707,0.6785705817206893,-0.9828599703970337,-1.3198470658050607,-0.37,-0.47,-0.3
0.2625975737543863,0.8318545910893458,0.8596668525876373,-0.9660626935806262,-1.2757366027822095,-0.46,-0.51,-0.4
0.5031293510041486,0.5044723839151926,1.104018600538137,-0.8599444126317888,-1.048717359044943,-0.65,-0.69,-0.61
0.30508997380327463,0.5794634335555036,0.8412256209539225,-0.9507021558074069,-1.1706418713282123,-0.56,-0.6,-0.51
0.21245532513584767,1.5441330734141272,0.887170137549394,-0.9109921357646484,-1.1048960586598784,-0.6,-0.7,-0.49
0.28692722941241955,1.2171309457716855,0.8046967681975978,-0.9242416001521095,-1.2076634351159148,-0.61,-0.64,-0.57
0.20551543135161066,1.033272105458597,0.9283250005829575,-0.9994608381191841,-1.340251189984512,-0.57,-0.65,-0.49
0.38398376147491664,1.1321171828775651,0.9337455228526641,-0.8265294894838934,-1.004953752897503,-0.52,-0.59,-0.44
0.5707694588740742,0.8096909668540334,0.8802890718212002,-0.7620451028711293,-1.0716300591747752,-0.49,-0.54,-0.43
0.24829211578196253,0.9573649121519658,0.8691881227189735,-0.8382736583148559,-1.0055623465247177,-0.3,-0.43,-0.2
-0.06325714556668749,1.2698868004069546,0.9701443261576224,-1.096164920245113,-1.3482750172910545,-0.51,-0.58,-0.44
0.30388307293819405,1.0746428115056257,0.8899898131612717,-0.9184244111732011,-1.1805948916127154,-0.64,-0.69,-0.58
0.5420416130335993,0.5033083797673357,0.8925827940572637,-0.8753723091306163,-1.1602594109067201,-0.51,-0.56,-0.45
0.18973777858616506,1.643158847635784,0.9198474118892092,-0.8926059564035449,-1.1276633135414535,-0.36,-0.46,-0.27
0.5170109952750632,0.9392829276303241,0.7343047409401241,-0.8493615028370483,-1.1011316135750027,-0.59,-0.64,-0.54
0.31166971663013765,1.2339118713439747,1.1537277145333242,-0.7915675664204107,-0.9132520785738887,-0.61,-0.66,-0.57
0.4773411367001278,0.752224379475189,1.0185978891525316,-0.8238060493128666,-1.044055879237662,-0.61,-0.65,-0.57
0.4460827697835502,0.7739196559393762,1.0581811564482075,-0.8356465613185583,-1.0586269436501818,-0.72,-0.77,-0.67
0.3537631324673824,0.8669717029955979,0.806591714362175,-0.968890795120788,-1.2940180508410855,-0.33,-0.43,-0.25
0.6044092103394654,0.80197637596092,0.8096221328519513,-0.8562353751192499,-1.0380953278674854,-0.55,-0.61,-0.49
0.400546418651953,1.1371772006887142,0.9773544510058907,-0.8311777479020005,-1.0057708567322743,-0.44,-0.5,-0.35
0.3849223652455442,1.1668364139967107,0.8523724877442217,-0.9071302862169799,-1.091449053603938,-0.47,-0.52,-0.42
0.5175767764373338,1.1593323775912483,1.0172816010801016,-0.6523164987171811,-0.8440517032963357,-0.49,-0.57,-0.4
0.36485783526360044,0.858130120873397,0.8757293852472108,-0.8790564225556246,-1.179361405304886,-0.52,-0.58,-0.46
0.3204846081175728,1.0959899088746683,0.8768330379242623,-0.9253196932534836,-1.1080548722301216,-0.6,-0.64,-0.56
0.48847623681664665,1.036674434984263,0.7633501277700461,-0.8726763525772177,-1.1100930395657467,-0.43,-0.5,-0.35
0.07844821785191605,0.9578849262175004,0.8447146561867875,-1.0369617970266232,-1.392839082398309,-0.59,-0.65,-0.52
0.12183026300104871,1.1602498066267095,0.6969020305239444,-1.0542434146876731,-1.2861326608631138,-0.67,-0.73,-0.59
0.1273008673373777,1.157268941802366,1.1033796598021945,-0.9625260045526798,-1.2599083832911235,-0.77,-0.86,-0.69
0.28919450687933046,0.703268430762936,1.005721092365734,-0.9612974480622383,-1.3484042653344717,-0.89,-0.94,-0.83
-0.1872407313719816,1.417668842967228,1.0344031103800426,-1.195992677818242,-1.4288795218691774,-0.6,-0.68,-0.51
0.43745631105454785,0.8933036167680648,0.7748085242703617,-0.9426608634809912,-1.209936243421585,-0.45,-0.55,-0.35
0.2292381929606624,0.8157226426193841,0.8839115566456586,-0.9835606506566379,-1.345742436799493,-0.55,-0.65,-0.45
0.2820597619662921,0.7965992433476647,0.6688216940095317,-0.9908838440605003,-1.3326574162482259,-0.63,-0.73,-0.52
0.2418036525229747,1.1756381755067604,0.9799491261974781,-0.8636327906432183,-1.0541525958744433,-0.68,-0.72,-0.64
0.27495573701720555,1.2853952433983693,0.9588631071875695,-0.9133466331670859,-1.127525038149138,-0.52,-0.59,-0.45
0.3800465514910079,0.9454030467704031,0.8030557536435619,-0.9265223956919297,-1.1832742302983212,-0.61,-0.66,-0.55
-0.07383386269639769,0.9288899175006591,0.9729587043286458,-1.0815810710002793,-1.4714851500107449,-0.63,-0.69,-0.58
0.3770434029516365,0.7019269784137625,0.851084865474456,-0.9108804545682685,-1.0908063017057568,-0.54,-0.59,-0.49
0.30894001749229305,0.748872722356724,0.9280374998281884,-0.9875767529093444,-1.2435303483584392,-0.4,-0.5,-0.31
0.2171490816893904,0.9285038484721908,0.8606050746371283,-1.0366683689488176,-1.3496792262981256,-0.68,-0.74,-0.63
0.20710998215857823,1.0521375137784577,0.9195412145237982,-0.9690633333026503,-1.2565337525421163,-0.57,-0.64,-0.52
-0.5652674383845724,2.0948980322786728,0.9404891166117424,-1.2722573591539557,-1.5198866560732474,-0.69,-0.82,-0.57
-0.08848922287100211,1.4917400345095684,0.8589853850022863,-1.1206582640931495,-1.316106069021698,-0.67,-0.73,-0.61
0.44583716180091265,1.0907383972519336,0.8048496538656191,-0.8831404311561071,-1.0904356896072618,-0.43,-0.49,-0.37
0.4558886888652709,0.7744836322105548,0.8641139196609002,-0.8388338435341397,-1.1756934173412086,-0.55,-0.59,-0.51
0.12021926508027511,1.244323520256144,0.8524201797316787,-0.9805820568419488,-1.2841786970428977,-0.54,-0.58,-0.5
0.23051772146869326,0.986107838188183,0.9896744662226233,-0.8914929706397616,-1.2209817144154078,-0.67,-0.7,-0.65
