k,rho,nu,beta,delta,sigma,lower,upper
-0.015585698500619655,1.020451336885432,0.9863702604580888,-1.0063138822874789,-0.9903347751795619,-1.97,-2.1,-1.85
-0.005876643428222163,1.0078645833400084,1.0144331642518116,-1.0030533280041076,-1.0052897307637343,-1.96,-2.05,-1.87
-0.017700264372041405,0.9874241469794913,1.0001156166752372,-1.0078420242965018,-1.0121097670740085,-1.94,-2.04,-1.86
-0.00033503453139255594,1.0004791995909006,0.9925887816943979,-1.0053592841682955,-0.9865065797661356,-2.05,-2.15,-1.96
0.008402990331903663,1.0173817653730461,0.9912487683502915,-1.0012566512375258,-0.9941812718265148,-2.0,-2.09,-1.91
-0.011961953344570064,1.0094428090523901,0.9997723174591843,-1.0036306433751259,-1.01837357904128,-1.98,-2.1,-1.86
0.06161799155345096,0.976205816097067,0.9693955476054021,-0.9924300485381388,-0.9829875503491576,-1.96,-2.03,-1.89
-0.007223571263192251,0.9887383226614704,1.002736749527553,-1.0059692881335436,-1.0104393893762174,-1.97,-2.06,-1.89
-0.036189664045998,1.0369387645194912,1.0063252893710215,-1.0023881918198456,-0.9972749922245538,-2.05,-2.14,-1.95
-0.01449024699547525,1.0079371147465477,1.0084142944722987,-1.0021096421759328,-1.0103787396388964,-2.05,-2.13,-1.99
-0.04488640968437496,1.024489036686105,1.018652572061367,-1.0097049861000698,-0.9974978125671292,-1.93,-2.06,-1.82
0.029573602475189517,0.9745852828118455,0.9912506491259345,-0.9904134058631224,-0.9997883973905903,-1.93,-2.06,-1.82
-0.012645005727823743,1.0224041950991296,1.0149013662683055,-0.9931503696076609,-1.0017959033462411,-1.96,-2.03,-1.9
0.015315093810445999,0.9771433048610094,1.013006929241583,-0.9921562163585638,-1.0093877658018187,-1.98,-2.07,-1.9
0.027420854101026286,0.9899673743472677,0.9820474409839942,-0.996013549788644,-0.9850314620964423,-1.89,-1.97,-1.83
0.001026619468682483,0.9918679895870477,1.0140396154625932,-0.9950083984930818,-0.9953405981547117,-1.91,-2.0,-1.83
0.015524942813071546,1.0078383521672727,0.9740183486359195,-0.9949582370963632,-0.9951272476956582,-2.09,-2.21,-1.98
0.022360484962111953,0.998797876746655,0.9622506574094465,-0.9935806257246795,-0.9842218755632783,-2.11,-2.23,-2.01
-0.007663583601821344,0.9787388815508802,1.0109007605374953,-0.9987002476344418,-1.0114708995649784,-1.98,-2.04,-1.92
-0.00675365789128971,1.0047466436733399,1.027532500985487,-1.003315915059896,-0.9994032590245886,-1.95,-2.09,-1.83
-0.009233028433599858,1.0050756355043533,1.0126916486458692,-1.0015128629272825,-1.0162966091329855,-2.12,-2.27,-1.97
-0.015394879245254636,0.9995365604138675,0.9943991141755539,-1.0081488524355784,-1.0211494999089534,-2.03,-2.1,-1.96
-0.0229497700473583,1.0476475637165685,0.9771444229639825,-1.0125628086473992,-0.9920705321661492,-1.94,-2.0,-1.88
-0.0474743456080418,1.046646636468789,1.0345021906650262,-0.999676981845822,-0.9998756637813861,-1.98,-2.07,-1.9
-0.0034803111071735043,0.9948659088972394,0.9848915986470598,-1.0063436882509,-0.9918889518372247,-1.88,-2.0,-1.75
0.011305289498238082,0.9964255057477205,1.0132395498819333,-0.9957588501481766,-0.9961082578223839,-2.0,-2.13,-1.88
0.017860580086453172,0.9936447216279392,1.0034593648433434,-1.006761937374778,-0.9765368819722903,-1.98,-2.06,-1.9
-0.007673621967824433,1.0257513612073819,1.004445645853953,-0.9867415819998309,-1.0165976830943089,-2.0,-2.1,-1.9
-0.015486610911164538,0.9835841487009449,0.975579633468709,-1.0117617382200907,-1.025371597817906,-1.99,-2.11,-1.88
0.016792314026133418,1.0120155929923746,1.000917711176378,-0.9960707229645935,-0.9868165483214063,-2.01,-2.06,-1.94
0.01215817009754221,0.9964585115574145,0.9833422806307048,-1.007262149966053,-1.0010343241957897,-2.03,-2.12,-1.94
0.007715023534610889,0.9871464367042736,0.9710045278380539,-1.0094709105991453,-1.0031518233616183,-2.04,-2.12,-1.96
0.055259048872483986,0.9687617486271594,0.9869364806244938,-0.9906113623329444,-0.9801001437341961,-1.89,-2.0,-1.79
-0.005721917635165163,0.9930901753304882,1.0009170429217797,-1.0089602876641375,-0.989930852424177,-2.01,-2.1,-1.93
-0.0018827559398032706,0.985656810759744,1.005079916365864,-0.9963267463034486,-1.0192866008702077,-2.02,-2.1,-1.94
-0.01763419709819833,1.0195240395752214,1.0025542314241123,-1.0039024923812288,-0.9984155757516925,-1.88,-2.0,-1.77
-0.014537541568594405,1.0020237370043188,1.0011671051925344,-1.003659882585068,-1.0198823790728735,-2.02,-2.11,-1.94
-6.377047106402676e-05,1.0048028851296373,1.005203362891331,-0.9874030490992057,-0.9943938951521567,-2.06,-2.1,-1.99
0.00655420563791082,1.0057978801108736,0.9720140660764895,-1.0048426843840659,-1.0051033840457249,-2.05,-2.2,-1.92
0.04570492100688462,1.0163432241713277,0.9969870321643728,-0.9821952851486735,-0.9876692309560395,-1.97,-2.06,-1.89
0.009575307234526837,0.990007777297899,0.9970182124640339,-1.013384393247299,-1.022593267076369,-2.02,-2.17,-1.89
-0.01238176375493971,1.0322149603355415,1.003151978160018,-0.9889628212009258,-0.9860995143993019,-2.03,-2.11,-1.94
-0.006516012418117344,0.9895620331881758,1.0132685741783636,-1.0058220840212257,-1.0070309843610024,-1.9,-2.0,-1.81
0.033992282118049166,0.9933382238863805,1.0104316285455375,-0.9871507976257943,-0.9853842287055865,-1.99,-2.08,-1.91
-0.020533709076297958,1.0136212898944397,1.0059978810885748,-1.0066329565175964,-0.9998266611367048,-2.04,-2.15,-1.94
0.006799762673942699,0.9864360633141998,1.0063337224152247,-0.9950695501924545,-0.9969415971275742,-2.04,-2.09,-1.99
-0.020953511993667635,1.0034185717740192,1.0065020679711554,-1.010218652150512,-0.9951031827952075,-2.05,-2.16,-1.97
0.0016491729391413254,1.0039327319659124,1.0062218543091959,-1.0031706321822038,-1.0004616785007032,-2.05,-2.25,-1.89
0.0025558449937144075,0.9681393336209403,0.9905473330499003,-1.0102728067447173,-1.008691776734029,-2.09,-2.2,-1.98
-0.03914955469974732,1.024252053540207,0.9857458496372966,-1.0104631324495679,-1.023746344935095,-1.98,-2.08,-1.89
0.00797775289978679,0.9968464674062747,1.003551592977896,-0.9997569363028147,-1.0049343350438131,-1.99,-2.06,-1.93
-0.030591196060994613,1.0550424039072175,0.9874774897225433,-1.0056577464928036,-1.021014273815025,-1.98,-2.07,-1.9
0.030313681765887713,0.9947806595924662,0.9777687983817169,-0.9860872087598287,-0.9814314489837792,-1.96,-2.05,-1.87
0.0008442780888906678,0.9626201637751994,1.0012665441859863,-1.0022593530818722,-1.0183980900956173,-1.98,-2.09,-1.87
-0.018542235378948578,1.0267436148591575,1.0066821451051773,-1.0021731648563292,-1.0077278492761779,-2.05,-2.14,-1.97
0.017312177748643014,0.9980766349745633,0.9797759471401783,-1.0034673375304763,-1.014360167164248,-2.01,-2.14,-1.9
-0.022056770179504165,1.0103025612379728,1.0099308604114263,-0.9984360649844175,-0.9934494224579379,-2.1,-2.2,-2.01
0.005560111198119055,0.9728545254539493,1.007934545898967,-0.99093164953246,-0.9892058165751861,-1.97,-2.09,-1.88
0.015564963454072857,1.0143494052071425,0.9934384026319489,-0.9917038012532825,-0.9922282610054476,-1.97,-2.02,-1.92
0.005252618254215774,0.9974429036941103,0.9827601920264745,-1.0073383808634695,-0.9978541317131937,-1.99,-2.08,-1.89
-0.018062977532739603,1.0031722837986048,0.9887475712329886,-1.0159681202774233,-1.0049605247570779,-1.98,-2.04,-1.93
-0.03990326602849365,0.9821097629649951,1.044976285762051,-1.0049101327136727,-1.005304469030981,-1.98,-2.03,-1.92
0.0011853599933415405,0.9944798182551247,0.9821308761976677,-1.004885170013134,-1.0024075994692727,-2.04,-2.11,-1.96
0.007352852404151152,0.9916869580929868,0.9817550251309959,-1.00036327827949,-0.9972241039052121,-1.96,-2.06,-1.86
0.0030454382047267544,1.0506257187529608,0.9740030239190864,-0.9994551007090413,-0.9760734581424614,-2.0,-2.11,-1.88
-0.009406650645321231,0.9947885586916012,0.9838359678595829,-1.0201444235938069,-0.9987885483657942,-2.06,-2.15,-1.98
-0.011319546801211479,0.9830358541219505,1.0198059644491462,-0.9984015832632477,-1.018065660462414,-1.98,-2.07,-1.89
0.01505489007897931,1.0213194498036984,0.9764112896320468,-0.9920659836443126,-1.0036584560394721,-2.07,-2.15,-1.99
-0.023858676267332388,0.9716338065531658,1.0210248047424302,-1.0051346051180519,-1.0019409728382418,-1.97,-2.08,-1.87
0.008690934277643907,1.000158507646358,1.0086096276191479,-0.9780147877057898,-0.9982854979770017,-2.02,-2.12,-1.92
0.012975835604372848,0.9760718928449215,0.9633557742165667,-1.0110337862047996,-1.0002512812207967,-2.0,-2.05,-1.94
0.0064438369310752,0.9907935753506624,0.9831901836952646,-1.0027233990620827,-0.9989905644561414,-2.01,-2.07,-1.94
0.01381811949335067,1.014447087481212,0.9968550998293815,-0.988866175985234,-0.9988921619210914,-2.01,-2.07,-1.93
-0.004047417132122746,0.9859625286866107,1.011234530662887,-1.0029509925090503,-1.0101802932999608,-2.15,-2.27,-2.02
-0.03424441314720099,1.0384868613805476,1.0191084344099721,-1.008271090616303,-1.0238552865451949,-2.11,-2.21,-2.01
-0.012951262034307699,1.006497891223748,1.0150549033888816,-0.9975570113853627,-1.0000457259797768,-1.94,-2.06,-1.85
-0.011583961839286054,1.0008610200846042,1.0015126842800015,-1.0066994921813133,-1.0337217521384963,-1.94,-2.04,-1.84
-0.016861617636033666,0.9679997526203176,1.0286355745056652,-1.0033288851947562,-1.0211213316734302,-2.01,-2.11,-1.92
-0.01662858227753448,1.0025022565421526,1.047995392213799,-1.0005883220383291,-1.0023048942759254,-2.11,-2.25,-2.0
-0.003986369578669037,1.0065492852987759,1.026798190681372,-0.9968689460328132,-0.9838860490360946,-1.99,-2.1,-1.89
0.03799008580577222,0.9723494011627569,1.0141385280432633,-0.9783106531631486,-0.9940250888766372,-1.93,-2.04,-1.83
0.0015739791310143635,1.018616835317886,1.00905660012954,-0.9863688799699828,-1.0081551292340725,-1.98,-2.07,-1.9
-0.005815832578319368,0.9756061042367552,1.0134158234734925,-1.0107665608066145,-1.0099334464480685,-1.97,-2.05,-1.88
0.01826025431715668,1.0228857859049636,0.9770415898312346,-0.9856943400458719,-0.975078151685945,-2.06,-2.21,-1.93
0.00789419113504657,0.9924117497813476,0.9894729964290403,-0.9972778340840587,-0.9911879109791167,-2.05,-2.14,-1.96
0.02241708027256538,0.9946162808485305,0.9872874589823222,-0.9918755829606689,-0.98791064189793,-2.04,-2.14,-1.94
-0.0163400685055658,0.9850877950711547,0.996256569165036,-1.0158892771288168,-0.9951052611847346,-2.04,-2.15,-1.94
-0.039157181492025774,1.0354483778901415,1.0122714681141916,-1.0013403550926563,-1.0021972194079631,-2.08,-2.2,-1.97
0.017523420758473542,1.021906784194054,0.9694695833843929,-0.986247094450706,-1.0014050446757294,-1.97,-2.06,-1.89
-0.01089592296236365,0.9828098516517079,0.9739025084380685,-1.0076634592774485,-1.0212180055273703,-2.01,-2.12,-1.9
0.0002213184015817356,1.0100334000793247,0.9939771639580776,-0.9981446998513642,-1.006621547339127,-2.13,-2.29,-1.99
-0.0035535344897677534,0.9752479440859654,1.03888605920223,-0.9915940851031335,-0.995090656535997,-1.93,-2.01,-1.86
0.009795205665865735,0.9772472929755129,1.0038860461949757,-0.9925088600778814,-1.0134176437078386,-1.98,-2.06,-1.9
-0.0243133056220297,1.0460883440075799,0.9786366677628544,-1.0018795009444763,-0.9893319529010642,-1.99,-2.07,-1.91
-0.007126023231032688,0.9897044192446863,1.025860210928586,-0.9946324521156156,-0.9987427515489835,-2.0,-2.08,-1.94
-0.026714430572111668,1.0104786002211736,1.0072283183705788,-0.9944076084868237,-1.015640375798915,-2.07,-2.2,-1.95
-0.01785616531117399,1.0045153612473683,1.012763326809015,-1.007482306866772,-1.0076359096719534,-2.06,-2.14,-1.95
0.019360329446879085,0.993706769679027,1.0098758062086244,-0.9940635541667895,-0.9983947706661124,-1.97,-2.03,-1.91
0.01080357153403903,0.9599232832708705,0.9955722035753397,-1.0023163311050864,-0.9870415535123995,-1.98,-2.1,-1.87
-0.004588063876719936,1.0161422875350756,1.0056081642409862,-0.9998430207065105,-1.0214070390871304,-2.01,-2.07,-1.95
