k,rho,nu,beta,gamma,sigma,lower,upper
0.29860324618571177,0.9148821848530921,0.836201735487605,-0.8882977709419037,-1.184164066255279,-1.14,-1.28,-1.02
-0.17628620072109463,0.8355435705362542,1.039932856633187,-1.2487309532944926,-1.6452642185646922,-1.15,-1.33,-0.99
0.18468077750735196,0.9570629465319493,0.9664930305876049,-0.9538937904975783,-1.247504249064624,-1.35,-1.44,-1.25
0.20283561606360478,0.9835220097448731,0.8644353224723125,-1.0751414913781527,-1.261656327040797,-1.31,-1.46,-1.17
-0.015857185067294628,0.8405918940006027,1.3208660035804103,-1.0550263205701822,-1.4751017091339431,-1.2,-1.28,-1.12
0.48549746867607135,0.7861638486673689,1.1214864669409446,-0.8871739452144802,-1.112461028903582,-1.15,-1.3,-0.99
0.3329711773162878,0.8702436670797122,0.9555401018282604,-0.9948485295357403,-1.2114900761184446,-1.15,-1.35,-0.99
0.2426634043202693,0.773562426562717,1.3119500608996453,-1.0091615338718927,-1.2838843294782092,-1.13,-1.19,-1.08
0.8446963414829597,0.9290773051312331,1.63130561436301,-0.03477083102020197,-0.46584490773170756,-2.98,-3.0,-2.16
0.2624648429666586,0.7132913663972837,1.9410499035427495,-0.9274608425935218,-0.9626252641777793,-1.04,-1.11,-0.97
-0.27137878683319727,0.9931057947217925,1.351249120226805,-1.1479699964576104,-1.6666223396364885,-1.21,-1.36,-1.06
0.526573825416742,0.8207365820106294,1.5081780362489599,-0.7971976474507712,-0.9122703994027614,-1.47,-1.69,-1.31
0.27672761190119644,0.8165617012308846,1.451698759202144,-0.9256703081712567,-1.169675482073116,-1.1,-1.14,-1.07
0.29732743235170095,0.8212457724791851,1.0743149179229672,-0.9812766900142015,-1.2469235530622185,-1.08,-1.13,-1.02
0.351327501970516,0.832870615333667,1.2919620524914697,-1.002259654614531,-1.1914186141157512,-1.01,-1.06,-0.95
0.1113189402735169,0.8952888786784486,1.4521656539452144,-0.9538179999364873,-1.2869908416769134,-1.12,-1.17,-1.06
-0.09888504889053304,0.8625761633622291,1.717423445559109,-1.0281239786835434,-1.4372074203134857,-1.4,-1.58,-1.25
0.16600901389538436,0.8355453289849506,0.6803611401552552,-1.1452946805046347,-1.4437649241564707,-1.52,-1.77,-1.26
-0.2501509066306036,0.8965670847249059,1.5059843028066155,-1.174615807095663,-1.5526653932898153,-1.35,-1.41,-1.29
0.13528595889847117,0.8021757236745228,1.5023739098354247,-0.9328903022027009,-1.2238233258574838,-0.85,-0.91,-0.79
0.406448970772083,0.828090340154189,1.1886918106048858,-0.9044529732656938,-1.135073510710856,-1.16,-1.34,-1.01
0.38887399152411395,0.8030095874640448,0.9264043612022184,-0.9703191776945155,-1.2121719748163775,-1.25,-1.35,-1.16
0.06016605856970829,0.929235723872473,1.4791576182672226,-1.0119091953428039,-1.257183764731459,-1.3,-1.35,-1.23
0.27741085512298613,0.7547259851000538,1.6782511340797743,-0.9208546923909868,-1.091209118903699,-1.13,-1.21,-1.06
0.36204412606424696,0.962652728893169,0.8037755533394704,-0.9476552381393707,-1.1289534255253413,-0.95,-1.02,-0.88
