k,rho,nu,beta,delta,gamma
0.04914439553483718,1.0739426362940336,0.9956202669660572,-0.9750012478552893,-0.9780644240198368,-0.9097615994159982
0.09687073476076025,1.040833920028259,0.9606956829915367,-0.9658679522368796,-0.9896003414373432,-0.9035270216532074
0.10328139361662211,0.9851064690943211,1.0307913232439523,-0.9576358748363865,-0.9447387632222548,-0.8944048224386074
0.11261462590388849,0.8923413104275953,1.0547641263082475,-0.9705239651993667,-1.0263400838228767,-0.8413412865757435
0.10448557700099381,0.9947993193419087,1.0086799356428766,-0.9444699924994143,-1.006244266704471,-0.8304020555894154
0.035506858845441525,0.858776474174619,1.2646623983727934,-0.9786688324404799,-0.9794922700712807,-0.9259308745692938
0.05266489774095562,0.8344251230783047,1.2964463155772363,-0.9756965388277065,-0.9915976488925135,-0.9323233947288563
0.1179215035583483,0.8818601927969117,1.2044102915739971,-0.9282337624400806,-0.8235162263375274,-1.0492180298090565
0.019098933988750594,1.1706171240369732,0.9548602469515357,-0.9792607579658237,-1.1040602002491664,-0.7566972526118273
0.2839185309054031,0.9727948362896884,1.2072974437804278,-0.8589312996865132,-0.8850752901508118,-0.7154620451856315
-0.005009920526591993,0.8739615327115515,1.161738832321209,-0.9980884345508563,-1.0990856941986418,-0.8830879889086367
0.10792855556759207,0.80896315973332,1.5118018120052887,-0.9280746931004081,-0.892883754428648,-0.8743357455374645
0.3065562867997765,0.9258259403650843,1.1596388195607712,-0.8682084713997917,-0.7393884314459186,-0.8898539875065491
0.14723617294581165,0.9382122253619639,1.065213751462127,-0.9296200413761092,-0.8445638345631876,-0.9679673740805509
0.184069346006011,0.9419587598992503,1.1403516129680964,-0.9113854325300486,-0.8682764098947471,-0.9244751507526432
0.1402692536546386,0.9805236282688012,1.1026145381266486,-0.970071815484608,-0.9795592583672734,-0.8163795319368616
0.01463436932960116,0.8989659196127223,1.236965535749801,-0.9851389974420359,-1.0483897352406708,-0.8899860751746198
0.010948754433302677,1.0079728790784164,1.084910639916004,-0.9836870710601133,-1.005863962132352,-0.9093941807265062
0.16736821440550353,0.9794940697168238,1.0852666031097478,-0.9243522869110574,-0.9154009834023233,-0.8316087764297417
0.024586418697908674,0.8935641759371827,1.1953538545720843,-0.9947618229941418,-0.9393920824594922,-1.0390007725992212
0.11255582469327552,0.9484808236218163,1.0658175243430803,-0.9643298974269434,-0.9535487668291613,-0.8698140774474363
0.1585498757275085,1.0031571484810082,1.0658474557271338,-0.9313732674759997,-0.9499195280867617,-0.8609369724613549
