k,rho,nu,beta,delta
0.11563829946018016,0.9748370889370128,1.0889753134139666,-0.9268998734323821,-0.869544165020127
0.10345635145250456,0.978088322056774,0.9672417590613974,-0.9550697062698639,-0.8978385750024959
0.13709333081934638,1.0871097989966843,0.9635493817875758,-0.8942468330886277,-0.7563056869376422
0.0987629086563846,1.0296707734259336,0.9429559436595322,-0.9652913457340835,-0.843261119391833
0.193066821576116,0.9524839517029349,0.913157487518032,-0.9229380992684124,-0.7987182350613621
0.13733584335284332,0.9922657887234075,0.8226281208406123,-0.9650245088128616,-0.8919660339191435
0.1305369919352059,1.0695373635627987,0.7830783929467546,-0.9663884305596513,-0.8613942036493993
0.09937061205104616,1.0781185148987105,0.9945327774790167,-0.9190008701713157,-0.9654667189087163
0.08138285427336334,1.0568965679167255,1.1679421810002464,-0.9373719271898187,-0.7409957523641302
0.365007564988156,0.9278935008572554,0.8540223539131458,-0.8773594103615303,-0.6947827953030837
0.0784214402630715,1.0469915144298358,0.8904893392926595,-0.9509551691402676,-0.8652425370678613
0.17005191535407593,1.0612446340241926,0.8233919521036571,-0.9221376327598627,-0.8236863091811539
0.3281236494858932,1.0156761656328912,0.9948230424274002,-0.8886036407354513,-0.6756668674102757
0.14157577383857178,1.0078886630247563,1.034322427840094,-0.9322521903953944,-0.7915034555975886
0.27804059326709596,0.9765997251304727,0.9219163095394854,-0.9074756427054522,-0.7543974482449439
0.24921568895431223,1.0984460822205642,0.9757497793492352,-0.8411621612805162,-0.6853337060685717
0.14372385159299178,1.0322218594080896,0.9140166894627983,-0.9512457482890135,-0.8511573444672703
0.0509287284481664,0.9812314703566113,1.0237235672073355,-0.9528500827542177,-0.8977131312695278
0.15848943371856994,0.9899443850279537,0.9743561172650504,-0.9333642481622566,-0.765489091565875
0.1578445676045421,1.014023137451722,0.8911985234107493,-0.9351410479386094,-0.87741366579477
0.172305011316236,0.9731486528758027,0.9289497142296932,-0.9281052343336152,-0.8168991921504665
0.16115812779295569,1.0029073044523278,0.9737314484876562,-0.9327528325703835,-0.8206854758461721
0.21145370498865185,0.9745301304323064,1.1064039998094621,-0.9025591944346862,-0.8428221827888522
0.14205609161594823,1.0260954545056251,0.949398041871387,-0.9412141764378035,-0.8138417343442443
0.11687169409822111,1.0335574421776315,0.9016829410587106,-0.9469178469978942,-0.8262348811146678
0.05843447270927797,1.0441184175210576,0.8338450059774801,-0.9745357365094832,-0.9947755436648015
0.10709495590078039,1.028612353817316,1.0222753493351147,-0.9260413947728585,-0.852298538262821
0.10211881387506108,1.0316663397937207,0.8314992952404809,-0.9773702537966726,-0.8636993973332547
0.17925363576705458,0.9658563592316287,0.9174440831999746,-0.9347864805342038,-0.7281260104385109
0.2636561498842571,0.9978299363947456,0.7864837412591227,-0.96267795643037,-0.7414997106752307
0.12847343758883858,0.9606645398559873,0.9423896372907361,-0.9492200378975024,-0.9334845487885413
0.1121702707479425,1.0313968044637072,0.94048868141364,-0.972978932930096,-0.9659940421995836
0.10626356617830612,1.0326493305314866,0.9448202707396256,-0.954368002154582,-0.8848152666658067
0.2004298921776131,0.9871744253955643,0.8143619599723066,-0.9516049338083321,-0.8290372172348509
0.21883104699169081,1.0066881809883559,0.8193596616066325,-0.9228407427257389,-0.7397906322412947
0.13074067792084132,0.9736862012593833,1.0150563264878225,-0.9468504407895635,-0.8223278885337326
