k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
-0.005748747665293467,1.0376715701518244,1.00158247685457,-0.993643020735558,-0.9893461717764918,-1.0087559318796786,-0.52,-1.96,-0.55,-0.49,-2.01,-1.91
0.0003231579817159374,1.0179409931272394,1.00435217075719,-0.9947559670364436,-0.991332921079329,-1.006957156802453,-0.49,-2.0,-0.51,-0.47,-2.05,-1.95
-0.011484755896144476,1.0050941146903996,1.0072945144096068,-0.9990713869448938,-1.000370022782759,-0.9831104707241827,-0.45,-1.98,-0.52,-0.38,-2.03,-1.92
0.00018972849430160844,1.019416798192498,1.004742008019988,-1.0031749008316246,-0.998277519554081,-0.9874086715645635,-0.5,-2.0,-0.55,-0.45,-2.04,-1.96
0.02199028031359903,0.9896597426255986,0.9745449521681366,-0.9936285455651593,-1.0004238576915188,-0.9924591751747712,-0.51,-1.97,-0.55,-0.47,-2.01,-1.93
0.00776029044344394,0.9786296618451673,0.999396331319853,-0.9918180904346565,-1.003194483353227,-0.9958209976953358,-0.5,-1.95,-0.52,-0.47,-2.0,-1.89
0.04940251336581909,0.9686926898524373,0.9656312437687912,-0.9845401807590193,-0.9898118356793404,-0.9909527582333377,-0.44,-1.97,-0.5,-0.38,-2.05,-1.89
0.006964185538804819,1.0048565855746623,0.9800163230147239,-0.9888533098863543,-1.0015003510080016,-1.0007780364081271,-0.44,-1.96,-0.49,-0.38,-2.0,-1.92
-0.0027808653879962653,1.0193421189248912,0.9767930558165581,-0.997784245912019,-1.0219650042094925,-0.9848716236558015,-0.48,-2.02,-0.52,-0.45,-2.07,-1.98
-0.0022000169783715686,1.001516695178799,1.0112481981521193,-1.003130537318565,-1.014193242917375,-0.9769020099061909,-0.53,-2.02,-0.57,-0.48,-2.14,-1.92
-0.034309787574572245,1.003636798081485,1.0242122131588058,-1.0039096751278902,-1.0034637755246614,-0.993433107719081,-0.52,-2.02,-0.57,-0.48,-2.1,-1.95
-0.020369345616247567,1.0101269494249325,1.0093987884141207,-1.0051248696817234,-1.0089745020551935,-1.0079839881411385,-0.47,-2.03,-0.51,-0.43,-2.08,-1.99
-0.006212814569715037,0.9896021757605893,0.9953554667703292,-0.9941310745400722,-1.0025343075410733,-1.0053744465091012,-0.48,-1.95,-0.5,-0.46,-2.02,-1.9
0.015876029500816263,0.9944280800493525,1.007767252804014,-0.9922357459589711,-1.0012802827026945,-0.9885324243192686,-0.5,-1.99,-0.55,-0.46,-2.06,-1.93
0.007009927671393789,1.0138668157700437,0.9935292133826309,-0.9984676590303238,-1.001955349659784,-0.9972153263854155,-0.48,-2.01,-0.53,-0.43,-2.08,-1.94
0.012585391071619226,0.9933194736546397,0.970142867967924,-0.9946279854760867,-0.9923811247559986,-1.0093601099258613,-0.48,-2.0,-0.56,-0.41,-2.07,-1.94
-0.018155866639765834,1.0236872382328905,0.9920914533623646,-1.001606543366486,-0.9940555113361806,-1.0070528948332986,-0.49,-2.01,-0.53,-0.46,-2.1,-1.93
0.00547549947332505,0.9911332471961343,0.9942826605054806,-1.0024226194210155,-1.0043513888467563,-0.9946116203246922,-0.49,-2.0,-0.52,-0.45,-2.04,-1.95
-0.03531677808012151,1.0109026664306784,1.0180980618893916,-1.0070052593548473,-1.0087878109617288,-1.0033193325537015,-0.53,-1.99,-0.55,-0.5,-2.07,-1.92
-0.021911761816394423,1.0060656264666317,1.0245840272231663,-1.0066061846734007,-0.9938087383386791,-1.0112453346231516,-0.5,-1.98,-0.52,-0.48,-2.05,-1.93
0.032398681767110186,0.9833247463265997,0.9812007056273774,-0.9906306285652724,-1.008206549426414,-0.9813335572559456,-0.51,-1.97,-0.55,-0.48,-2.01,-1.92
-0.022076562339296647,1.0148869508261593,1.0169951306963063,-0.9969793072835782,-1.0259697045904306,-0.9690276035175981,-0.51,-2.03,-0.55,-0.48,-2.1,-1.96
-0.008315239015142464,1.014487846163942,0.9753974912877564,-0.9986320866130569,-1.0154074318662736,-0.9863164440961798,-0.48,-2.06,-0.52,-0.44,-2.18,-1.96
-0.004859955750484294,1.0203266894533685,0.9868405906801002,-1.0032344755686389,-1.0026148122787315,-0.9917122568887988,-0.48,-1.96,-0.52,-0.44,-2.01,-1.9
-0.02081784516975037,1.0060611018112393,0.9818800873659462,-1.0130006355240673,-1.0082121295914117,-1.004176170232185,-0.53,-2.0,-0.56,-0.5,-2.06,-1.95
0.03524626235622858,0.9731530658667503,0.9828543533594102,-0.9926849538264582,-0.9960074671980448,-0.9962822857823277,-0.48,-1.99,-0.51,-0.43,-2.06,-1.91
-0.021910831671468838,1.0059512379729045,1.0195350726497399,-1.0016705881711165,-1.0076902350041705,-1.0042509934258643,-0.51,-1.98,-0.54,-0.48,-2.07,-1.88
0.008717721596318574,0.994515746752186,0.9967263304278469,-0.9912949414753089,-1.0044264104888945,-0.9783415072835984,-0.49,-1.98,-0.51,-0.48,-2.06,-1.9
-0.012778449270833818,0.9931481453079124,0.982162307042452,-0.9991376471425297,-1.008390595776906,-1.0123718655833063,-0.49,-1.97,-0.51,-0.46,-2.03,-1.92
-0.02511356455911571,1.0047017668355398,1.0185238459461374,-1.0051414315987162,-0.9992196282857428,-1.0148003235545007,-0.53,-2.0,-0.56,-0.5,-2.04,-1.96
-0.007668697394317827,0.9827110265627534,0.9884751202415247,-1.0074771141316115,-1.0101889280090863,-1.002798632829102,-0.47,-2.04,-0.5,-0.44,-2.11,-1.96
0.0004308100202824539,1.0174224132617287,0.9950509953215798,-0.9900260096565108,-1.000578619588513,-0.999595718749335,-0.51,-1.98,-0.57,-0.44,-2.05,-1.91
-0.035446474232953384,1.033480473236823,1.0318170621506635,-1.0093298766983816,-0.9996223951251582,-1.0220029940567157,-0.53,-2.0,-0.57,-0.49,-2.1,-1.92
0.006739630470841667,0.9915127218872142,1.013210094412806,-1.0035687170260794,-0.9906963187999598,-1.003034297674646,-0.53,-2.0,-0.58,-0.48,-2.04,-1.97
0.008629681284817458,1.0101535928551986,1.0039001197002002,-0.9960087210629606,-1.0052074548373509,-0.9922621825801997,-0.5,-2.01,-0.52,-0.49,-2.08,-1.94
-0.03500471209316097,1.0236655726316592,0.9984008567020146,-0.9986092689976038,-1.0091369918923947,-1.0106966866363676,-0.5,-2.01,-0.55,-0.46,-2.07,-1.96
-0.00012886896428424325,0.9830890052117499,1.0108144970687496,-1.0090789707138041,-1.0081936024366263,-1.0064254649626627,-0.51,-2.0,-0.54,-0.48,-2.11,-1.92
0.003882569691220524,0.9983954969103963,0.998890332151337,-0.9993659401728783,-0.99316198265312,-0.9979614401363084,-0.53,-2.0,-0.55,-0.5,-2.05,-1.95
-0.005312097354201346,0.9993439293921892,0.998899776139817,-0.9992613204241196,-0.9984968360089701,-1.0049854352571699,-0.47,-2.0,-0.53,-0.42,-2.06,-1.95
0.030607171472062003,0.9788966199706561,0.9835142786253741,-0.9957040291008018,-0.9992793178344843,-1.0014007603512343,-0.52,-2.0,-0.55,-0.49,-2.06,-1.93
0.03394444687378263,0.9980902802933926,0.9811536359225018,-0.9969190201484621,-1.0010111383962161,-0.9827364970985955,-0.54,-1.97,-0.56,-0.52,-2.06,-1.87
-0.017624120597990938,1.0105246905968526,1.016998925345781,-0.9979544267136906,-0.984344531058255,-1.025225615427837,-0.48,-1.98,-0.51,-0.44,-2.05,-1.9
-0.04016686102966706,1.024129264306534,1.0022720842876272,-1.0031285021527179,-1.0018751404308106,-1.019354568323201,-0.48,-2.01,-0.52,-0.44,-2.05,-1.96
0.02178577848207249,0.9862705547973898,0.9981779681954323,-0.9977484819320439,-0.9906126503885468,-1.0144349296666135,-0.52,-2.03,-0.57,-0.47,-2.09,-1.96
0.0075098327438228715,1.0104409087902275,0.9999085925819176,-1.0061081033868702,-0.9880053773398373,-0.9937552695827949,-0.53,-1.99,-0.55,-0.5,-2.06,-1.93
0.004370633352978832,0.9944091290938741,1.0182827682657072,-0.9931392465459894,-1.0016645787533465,-0.9931325435580474,-0.49,-2.02,-0.52,-0.47,-2.07,-1.97
-0.005925905969356274,1.0024545523071113,0.9724885496692,-1.0088768627155285,-1.0080139019855485,-0.9947587099287651,-0.49,-1.94,-0.53,-0.46,-1.99,-1.89
0.021531338982347943,0.9903112862241635,0.9992498379283057,-0.9907787423147534,-0.9717072435744554,-1.000314198015708,-0.5,-1.95,-0.53,-0.47,-2.03,-1.87
-0.014695459263337058,1.0031424082678593,1.014341331933926,-1.0128013393707795,-0.9999023616251527,-1.003116061346516,-0.53,-2.06,-0.58,-0.47,-2.15,-1.98
0.007643719860519381,1.0058310183454795,0.9780339217370095,-0.9996218526681159,-0.98440998493686,-1.0265132669067225,-0.51,-1.99,-0.55,-0.47,-2.04,-1.94
0.045583326147959666,0.9933288194757484,0.9783141132855019,-0.995390641433886,-0.9937099399637577,-0.9855887504015612,-0.45,-2.0,-0.5,-0.41,-2.05,-1.96
-0.0071544881490811455,1.0188466617033516,1.0025460086850986,-1.0009082393598923,-0.9999898329733259,-0.9986964263969232,-0.49,-2.03,-0.53,-0.45,-2.09,-1.98
-0.006306844820351911,1.0072582188781456,0.9704345478403335,-1.0066754704994256,-1.012866779023767,-1.006662495202797,-0.48,-2.06,-0.52,-0.45,-2.15,-1.97
-0.01844502098930949,1.0076803216349806,0.9921272659721316,-1.007845393372446,-1.0202098191409399,-0.9886959190708452,-0.5,-2.01,-0.53,-0.46,-2.08,-1.94
0.0017357921746121042,1.0053876973937323,0.9770802676098431,-0.9967669249124621,-0.9989813378395033,-0.9896530479222813,-0.48,-2.01,-0.52,-0.45,-2.11,-1.9
-0.004324997702031902,1.0192665465077986,1.0011841113513134,-0.9967050886163262,-1.0075638965682532,-1.001124093871141,-0.49,-2.0,-0.53,-0.45,-2.06,-1.94
-0.01868731640165231,1.0120187880090896,1.0042529338181625,-1.0046959757948741,-0.9951571064230703,-1.0181777116743316,-0.49,-2.04,-0.52,-0.46,-2.09,-1.99
0.01253841598754547,0.9903790056886943,0.9957304877887163,-0.9889699003883455,-0.9996582848326288,-0.994831320003373,-0.49,-1.98,-0.51,-0.46,-2.06,-1.91
0.01642145218999992,1.0027299414915127,0.9762456801448457,-1.0017751921920044,-1.0070040509528586,-0.9869421834666146,-0.53,-1.99,-0.56,-0.49,-2.06,-1.91
0.03264636856174048,1.0080089615527785,0.98697568986828,-0.9899948512821066,-0.9824976620738215,-0.9853732260167856,-0.5,-2.0,-0.55,-0.44,-2.09,-1.91
0.016844950701184958,0.9669832614064643,1.0048731535718143,-1.0090869409259258,-0.9969617482423507,-0.9989218641520502,-0.49,-2.0,-0.57,-0.4,-2.06,-1.93
-0.05188464330729671,0.9964893350863536,1.0051741303815498,-1.018158979883546,-1.0025298991556115,-1.028830234777116,-0.49,-1.99,-0.52,-0.46,-2.03,-1.94
-0.004520775547902946,1.0035168933249805,1.0013269836277825,-1.005077921905693,-1.0032783153312548,-0.9818707954346071,-0.52,-2.02,-0.55,-0.5,-2.12,-1.93
