k,rho,nu,beta,delta,sigma,lower,upper
0.0051310241819053325,0.9603529996877023,1.0132986523606013,-1.0002828627427016,-1.0002337538727462,-1.97,-2.02,-1.92
0.007496773467550227,1.000766089965591,0.9733059806300424,-1.0027999987481508,-0.9974170644423427,-1.96,-2.03,-1.91
-0.024426074556510878,0.9958702161168352,1.009924108089443,-1.0069651081240973,-1.0133367630052255,-1.96,-2.02,-1.9
-0.03976526497915375,1.0222781057476826,1.0319907311655587,-1.011127626606413,-1.0098903601555418,-2.01,-2.06,-1.96
-0.0191531544385518,1.0019787781513476,1.0288979036078336,-1.0007346267832262,-1.0165178684094178,-2.03,-2.08,-1.98
0.01523232196507107,0.9896516511405532,1.0066498734293625,-0.9978699770795908,-0.9969736702662383,-1.96,-2.02,-1.89
0.06119145926091266,0.9638201752016364,0.9839952217404478,-0.9928220301768728,-0.9737874518663459,-1.96,-2.05,-1.87
-0.020419656795998147,1.002933479812209,1.000275508943048,-0.999532205799073,-1.0133295326144036,-2.02,-2.08,-1.96
-0.05354769823690708,1.0444169989581995,1.0216944133608372,-1.0077814576390058,-1.0036369401345633,-1.99,-2.06,-1.94
-0.015483102907154243,1.008243826623553,1.0212081861035025,-0.995953807491319,-1.0015761904624694,-1.96,-2.07,-1.87
-0.027454209447235922,1.0095237849263778,0.9991290459648206,-1.0087213874259355,-0.9875792082047601,-1.98,-2.07,-1.9
0.00136967185264072,0.989565758583796,1.0255897736794592,-0.9977714093528953,-0.98017183966819,-1.95,-2.01,-1.9
-0.010851480776571967,1.0166953927087197,0.9556606669409737,-1.0054648710732348,-1.0171123608477917,-2.06,-2.15,-1.98
0.0331447816048403,0.9901615196265652,0.985713861530469,-0.9942201675905988,-0.9930684618629811,-2.0,-2.08,-1.93
0.013303776439424675,1.0019830634504987,0.9782446411878709,-1.0014015899716062,-1.0067363501904754,-2.0,-2.07,-1.91
0.01386695046225293,0.9975151530821154,1.0000686713623521,-0.9838340316019041,-1.0001081369402933,-1.96,-2.03,-1.88
-0.012747200499444961,0.9857572690018421,1.0155149128979422,-1.007338038444995,-1.0139701046951366,-2.0,-2.1,-1.9
-0.0032309419252415338,0.9945038835578436,0.9957050297964102,-1.002843055340933,-0.9978320811261128,-1.99,-2.06,-1.93
-0.01807258321327518,0.9928740127621198,1.0113178817067014,-1.002048565767184,-1.0095356487611211,-2.05,-2.14,-1.97
