k,rho,nu,beta,delta,sigma,lower,upper
0.6279221848577055,0.6959091686576093,0.7857962476584044,-0.7507035129885109,-0.9751168897593361,-0.55,-0.65,-0.43
0.5749441366474999,1.0770855662458456,0.9031023346664045,-0.7659537596867088,-0.9885448118284683,-0.64,-0.69,-0.6
0.17475753072314032,1.115173971144693,0.8894793195867265,-0.9160852469313328,-1.2500099681274262,-0.57,-0.69,-0.45
0.3095989145698643,1.0909116742397014,0.733757251004866,-0.9920597047880312,-1.2078473572019002,-0.57,-0.65,-0.49
0.3860029084636446,1.1797600831606336,0.7844647966531111,-0.8750719239968653,-1.1045104086840187,-0.62,-0.7,-0.53
0.6565451980136332,0.7546425156159685,0.7582655993712126,-0.7698016836906104,-1.0010495411070446,-0.45,-0.53,-0.37
0.35242354052340463,0.934830413342612,0.9386519304674972,-0.9015277333902245,-1.169667012565316,-0.77,-0.89,-0.65
0.20206881162172646,1.217258318575053,0.8944014641062976,-0.953277369429362,-1.2177856203954467,-0.72,-0.82,-0.61
0.28791003737131055,1.4859314894437996,0.8021350937079669,-0.9298528435248359,-1.1494759228376705,-0.85,-0.92,-0.76
0.11488431292449855,1.089552639929975,0.9666192071559199,-0.9249298149275256,-1.3008682896521093,-0.79,-0.86,-0.73
-0.11783517074670607,1.3605190418342004,0.9950966045259707,-1.0122663591041186,-1.337333185222712,-0.9,-0.95,-0.85
0.1266721515835475,1.3613978965103246,1.1033623411226539,-0.9245453493832472,-1.083122973418602,-0.75,-0.82,-0.65
0.043175299290714106,1.5684852450272189,0.8463266904704823,-0.9051130051596098,-1.275663214486686,-0.64,-0.67,-0.6
0.058399047757486444,1.1905060188627967,0.8689633285030454,-1.0392966813995685,-1.4003147149203847,-0.91,-0.99,-0.83
0.4812107205435604,0.9228905376749752,0.8023812979572456,-0.7831419905576601,-1.0512117339011393,-0.64,-0.75,-0.51
0.3916541033464829,1.2824443493685522,0.785095095875469,-0.911424641723733,-1.1378255928978085,-0.89,-1.08,-0.69
0.38348153208102287,0.9621115279000962,0.9115018953780839,-0.8303296280883039,-1.0542707233943995,-0.59,-0.68,-0.5
0.22905824924162055,1.1315091486291804,0.8296280868930106,-0.9910224741262328,-1.1917584695341632,-0.66,-0.73,-0.59
0.17130192723616752,1.1231864196223378,1.046882466555358,-0.906296637315029,-1.183622788293384,-0.82,-0.86,-0.77
