k,rho,nu,beta,delta,sigma,lower,upper
-0.000566487405835479,0.9971475949940061,0.9804658911727542,-0.9931590759195449,-1.000745227668784,-1.98,-2.03,-1.93
0.00831652969102412,1.0142814999223695,0.9656394466440562,-1.0061616431173732,-1.0016925478294214,-1.98,-2.04,-1.93
-0.02782170469069571,1.0137640011976599,1.0142953101992016,-1.0051481649189706,-1.0021967003090444,-1.96,-2.02,-1.9
-0.002220402988623785,1.026243925218811,0.9968000279613753,-0.9938977924608626,-0.975475731547014,-2.0,-2.05,-1.95
-0.027252824215478845,1.0240444242493587,1.0342274811340633,-1.0001624279025823,-1.0087256220935468,-1.99,-2.04,-1.93
0.02308532093870182,1.0005377505910402,1.0173497258247512,-0.983155697968925,-0.9796720446306494,-1.93,-2.0,-1.87
0.051591447652792055,0.9886265901155991,0.9756200400761291,-0.9858342991383673,-0.964505250841198,-2.06,-2.17,-1.96
-0.007209172123911096,1.0193731580069447,1.0115472244451635,-0.9856245780885755,-0.9884814300123074,-2.0,-2.06,-1.95
-0.02469789753367601,1.005263299095788,1.0436542161938114,-0.9971054328743955,-0.9867830257230551,-2.02,-2.08,-1.96
-0.018290114798331904,1.015939890798657,1.007668005860821,-1.0141385459076053,-1.0300782636443906,-2.08,-2.2,-1.98
-0.06700905490424429,0.9923054023312574,1.0312615037776607,-1.021595878807058,-1.021301027655437,-2.02,-2.11,-1.94
0.025757857829542017,0.9978315964454354,0.9981400505403013,-0.9889003897283729,-0.9963836374175036,-2.04,-2.11,-1.98
-0.00017152846088382958,1.0166154237926492,0.9683356001918865,-0.9994259901735548,-1.0118606668054164,-2.02,-2.1,-1.95
0.03148624644946859,0.9733762878852761,1.0032474205704047,-0.9889296739919499,-0.991880693353735,-2.02,-2.1,-1.95
0.021298518022387643,0.984340632026687,0.9611187521701922,-1.0042751930447293,-1.0144658069646846,-2.04,-2.12,-1.95
0.02546645012809179,0.9725726679509844,0.9936434055219353,-0.9930205258134261,-1.0065222229206596,-1.98,-2.06,-1.91
0.022372643042645635,0.9911795213369459,0.9721690012596096,-0.9991800368045567,-0.9890824115209443,-1.97,-2.07,-1.88
0.0016488447374491677,0.989230448217122,1.0104932416462922,-1.0099035398720047,-0.9829790760872112,-1.97,-2.04,-1.92
0.008759319668434106,0.9700957711564335,1.0041102937932136,-1.0028829219066213,-0.9961882625251167,-1.95,-2.05,-1.87
0.017596483754676602,0.9920126382198902,1.0010310511081348,-0.995693305684465,-0.9972178047827441,-1.97,-2.03,-1.91
0.01013015790829093,0.9933714636699675,1.0066929701270713,-0.99889081317549,-0.9949996982298669,-2.04,-2.09,-1.98
-0.013879966997642204,1.0283992383138827,1.032949053475031,-0.9945790312632654,-0.9657800322956744,-2.05,-2.13,-1.97
-0.025994714122621197,0.9843720126723916,1.0283973476370427,-1.011312007775746,-0.9814012589591339,-2.03,-2.17,-1.91
-0.035379553519181914,1.0159255428242653,0.9852554001242244,-1.0136289025980045,-1.0016875341217606,-2.01,-2.07,-1.95
-0.02645669230878201,1.0152922156711375,1.0111351853703971,-1.009656052571074,-1.0126971314241373,-1.96,-2.03,-1.91
0.008492163657053017,1.0050786210331035,0.996551601504465,-1.004861445019837,-1.0070099799816519,-2.02,-2.1,-1.93
0.010295295454873697,1.0081851698310444,1.0022637859032644,-0.9888982479524817,-0.9736288710447263,-1.99,-2.09,-1.9
-0.0032668452393019498,1.005679388527012,1.0027706304823822,-1.0018635028300538,-1.012755628562976,-1.97,-2.07,-1.87
-0.060915265090902816,1.0010921537149475,1.0580586087441861,-1.0135081443266412,-1.0098950229121884,-2.03,-2.12,-1.96
0.00483175401970364,1.0103262470572538,0.9734444534349462,-0.9944439406520138,-1.0035680292566398,-2.01,-2.08,-1.96
0.027012763567688874,0.9798872097302134,0.9893294475503827,-0.9896856379985713,-0.9974165925891004,-1.97,-2.07,-1.89
