k,rho,nu,beta,gamma,sigma,lower,upper
0.39454761453560083,0.8732078772796554,0.674944291650023,-0.9368997189471113,-1.0510962542199123,-1.31,-1.42,-1.31
0.29804059220156975,0.9140382775295125,1.4948529916895203,-0.9416469945776662,-1.0185948738938557,-1.45,-1.53,-1.38
0.0899078512894729,0.8801048176097156,1.152545175858894,-1.0196449394652725,-1.331096071867035,-1.57,-1.67,-1.47
0.3071789264400319,0.6464129674757593,1.2502928809359681,-1.059258590826672,-1.2514665701037826,-1.37,-1.47,-1.27
0.3571447738294772,0.7799178014367605,1.1268224734431405,-0.9792693336837968,-1.1750734556382496,-1.35,-1.42,-1.28
0.524966877219442,0.8036695505615896,1.0234144882408096,-0.8789513675561964,-1.054145421775924,-1.59,-1.73,-1.47
0.3807931003791157,0.8987345209573911,0.8452749753679645,-0.9305256609375843,-1.18492862138479,-1.79,-1.97,-1.62
0.13860337436141215,0.9200009693398967,1.198055858840506,-1.0500798812008485,-1.305635701746028,-1.65,-1.73,-1.55
0.289880048501743,0.8791152970141702,1.43471218003612,-0.9925361787806877,-1.1899743845607471,-1.93,-2.1,-1.79
0.11373189024643895,0.9064485446491706,1.385825743197019,-0.9467075694998626,-1.3075765170978344,-1.5,-1.65,-1.36
0.03867472155438294,0.8583731299076445,1.5448998252059565,-1.0122501317966708,-1.3647926462540187,-1.47,-1.6,-1.33
0.3333037689115068,0.8819817431751635,1.336769261758438,-0.9841429521138347,-0.9924153298667958,-1.33,-1.41,-1.25
-0.1268872932409697,0.8750896920959301,1.8689246489359859,-1.0326214817548536,-1.3513677567630487,-1.24,-1.31,-1.18
0.025649140410487062,0.7795345141271289,1.3144152697297633,-1.096490358234759,-1.4640232812750953,-1.65,-1.78,-1.53
0.4966241973473859,0.7474383519403159,1.097237278140987,-0.7931057314992075,-1.0221511607737916,-1.54,-1.72,-1.38
0.38677818989663715,0.7931178643527658,1.342430968860285,-0.9330780885525494,-1.15041373487758,-1.75,-1.96,-1.53
0.3685258932586845,0.8867716976155606,1.3293798891976087,-0.8483197085574535,-1.029542633869243,-1.43,-1.62,-1.28
0.32075900737261476,0.742026461957138,1.2942795723834972,-1.0244986446725002,-1.2461710011721951,-1.57,-1.69,-1.44
0.13956657877555048,0.9764202508283741,1.3608757571423329,-0.9591831289636534,-1.1817710925957448,-1.71,-1.9,-1.55
0.3821355719633601,0.8207068044706336,1.2053295548742908,-0.9305062742348384,-1.1632473080087564,-1.65,-1.78,-1.52
0.43560688208897824,0.7450309551132276,1.0705926522506073,-0.9502047821449767,-1.1750981743658628,-1.68,-1.79,-1.55
0.3795730302452254,0.8360207469960459,1.1746004313569722,-0.9091418763998855,-1.1306266785878587,-1.47,-1.6,-1.35
0.27061419022503536,0.9105523209968002,1.3636492070946087,-0.9113292491369192,-1.1642147591119594,-1.31,-1.52,-1.22
0.4769073415102628,0.8740378065325168,0.6704731286449441,-0.9882904956595282,-1.0857694491512608,-1.58,-1.69,-1.47
0.37809157988216996,0.790940520933117,1.0480086578935741,-1.0116396021112362,-1.163181116969238,-1.49,-1.56,-1.41
