k,rho,nu,beta,delta,gamma
0.3247528530644502,1.0424990743616331,0.9734870492597415,-0.8373218166984087,-0.747089011028887,-0.890502299021646
0.31780074495162386,0.9264862980151156,1.157207283641826,-0.8686856981913925,-0.8043908184228359,-0.7971770892398126
0.06260872713461636,1.0176900605510495,1.0577792396873056,-0.9468014281319448,-0.9997588755896519,-0.8799599191538745
0.21256639219527962,1.011492876423734,1.0405952064530193,-0.9253271428471117,-1.0091162106245404,-0.6973305300028795
0.27197457019965565,1.042379525932765,0.9496860930241102,-0.8775447535820676,-0.9452625110363495,-0.7250392430498421
0.17550128231297576,0.8727658327801395,1.148337303034182,-0.9358941439507114,-0.887585958316295,-0.8947828181263559
0.10072275554677312,1.0630181076337997,1.0171666624925966,-0.954706351813278,-1.0146145490057767,-0.870954630771269
0.08377370328753919,1.082813818140325,1.0670719081581446,-0.9289855612992999,-0.9508384546958628,-0.8508384002317163
0.13910440166118632,1.125886043242917,0.9647051596010173,-0.9537967461875267,-0.9915961679198304,-0.7639836812376775
0.052342561879269084,0.94502655181498,1.1321693911431019,-0.9817200509017282,-1.1093386331337454,-0.7642381394969767
0.014551965542407619,1.0489092879927584,1.1059370359315555,-0.9669559295963118,-1.1108012807193248,-0.6529663025649199
0.16809264913196567,1.1190382463618875,1.1121427812399403,-0.8678438767413856,-0.9372553708412471,-0.6505066270873423
0.10309629578812063,1.0166910764808075,1.1272857685439903,-0.9587701899201586,-0.946615061374847,-0.8149404205405636
0.09903814293065571,1.0338354386032416,1.1001425914107505,-0.9565679242880591,-1.01598144995167,-0.8214590461644993
0.11952601955536238,0.9654089181866427,1.0698841785225628,-0.9437306758778438,-0.9981142684229696,-0.8405944177638827
0.06725849278717694,1.0231046626348281,1.017433674548865,-0.9494441689475569,-0.9872881528981748,-0.9134953206095211
0.06178119881798147,0.9149184127733487,1.1680624585062522,-0.962568888205002,-1.0076759148829,-0.8613139703573928
0.06271253286365766,1.0031823692549624,1.17141875028935,-0.9671813961818821,-1.0720776188725023,-0.7393085909547137
0.055439737053124105,0.9856689630354796,1.1139168162760444,-0.9870104063593583,-1.055182694247261,-0.7547634454239163
0.11322388181365928,1.0286920560603807,1.0924328277847954,-0.961216897613878,-1.0418835694137323,-0.7184750250680642
0.14073499725403635,0.9791252584726196,1.028995827500951,-0.9528190784479464,-0.9898245036209006,-0.7707405009394284
0.041642562994205205,1.022039478041604,1.0624046823898738,-0.9628121011694275,-1.1959288471726635,-0.7350858672516625
-0.0084787927791512,1.1092416046611608,1.0242935860308697,-0.9808079388893381,-1.2666583449182138,-0.6751834898676599
0.10394435253465473,1.0638688968130037,1.090940434218674,-0.9514055469945409,-0.9841591810293435,-0.7840618003996471
0.20184567294335892,1.1037572830106914,1.0089261821708702,-0.9091250837040769,-0.9565573923667232,-0.770023371288716
0.08743315203031027,0.9953279779502424,1.1282356622858456,-0.943972411398952,-1.0839543997162617,-0.7515438718540054
0.06496713623923082,1.0218732327536197,1.0633403773086436,-0.9652394141079534,-1.0940117391417408,-0.7567744694421978
0.1626567343552031,0.8595122444064475,1.1860399358528242,-0.9565654312818908,-1.06987350145628,-0.6946677638456505
0.04648624416324432,0.7951901403244988,1.3842082684928108,-0.9554078868993243,-1.041324428411156,-0.7999608517123471
0.14325927803093122,1.1276621387036712,1.0446365392446706,-0.9092632226907205,-0.9259296922158465,-0.809783332807336
