k,rho,nu,beta,delta
0.6379914176597935,0.6912465794669821,0.793288479278407,-0.8222709368651699,-0.8892250912896142
0.5273086872647551,1.1428014445754155,1.0458355051891233,-0.8371827446487781,-0.9163523914032761
0.12823615909108912,1.1248515571654047,0.9123719059765752,-0.963460617721192,-1.2969368095261218
0.227660120959594,1.1168157364524278,0.7722475825053418,-1.033682724648682,-1.3002668765667886
0.3134353714237025,1.2000919321261714,0.7683039207581671,-0.9359384546422577,-1.1814254886256892
0.65749293510577,0.7752723653544898,0.9620097104141575,-0.812204788067123,-0.923856015894343
0.33642774431678224,0.9336294543903558,0.9349825166929899,-0.9195508428081427,-1.187027938884399
0.18349822666049476,1.223840208780311,0.9118562633527351,-0.9843164126856341,-1.2268715814428877
0.2785123970438992,1.495548384640147,0.8028892216082018,-0.949151651446265,-1.1448104569212525
0.05022501501376986,1.0987770117000606,1.0290195845864725,-0.9596811188119047,-1.3871868742020814
-0.136532828018053,1.3470384789891585,1.0001914023859038,-1.0322747529570913,-1.392648681561437
0.15031453651990034,1.323743691192566,1.0070650295563959,-0.9613323720837348,-1.1143049486918388
-0.05183021240075869,1.6041636757798337,0.9877158993444874,-0.9981512656460511,-1.3202062982625815
0.04498576249211203,1.18859943780947,0.8784427010184848,-1.0532473651834424,-1.4125703690185594
0.44066281568708243,0.932149874642642,0.8471859589007856,-0.8178259065570725,-1.07954073328326
0.38319840912264974,1.287299269829848,0.7932614020798954,-0.9189500067175089,-1.141469584030708
0.32837373540428805,0.9865714103649796,1.0675763670918645,-0.8675855822913554,-1.0948971552970805
0.16985776292389582,1.1564513957658777,0.8949478949931378,-1.0145957591492971,-1.2885442398561033
0.11558176492456707,1.1441076856647505,1.0762206461425003,-0.947275021424996,-1.2199546955569391
0.2590520895860009,1.1256330133395658,0.9581461100410323,-0.9311857194804588,-1.1969197265781437
0.38855373898575074,1.04539632447909,0.7852716035168663,-0.9236406956005118,-1.1271305828475144
0.15520428644429557,1.0923045887913652,0.9477384930552538,-0.949045994620934,-1.354940195488381
-0.05103155579117863,1.3470628140032999,0.9526460132725909,-0.9993841724342719,-1.4577476507095437
0.3763373278853398,0.7517323819917862,0.946839016951859,-0.9695726169536815,-1.1096491532680748
0.4108343153080614,1.0726048485467168,0.7788631045188614,-0.9354585832861388,-1.1508408682931288
0.189709968629486,0.996484363823437,1.0147478414864117,-0.9244424382093575,-1.2463263513850928
0.2567507436749719,0.8542684657521573,0.9526967478101384,-0.9069773442087945,-1.29665839763926
0.3000775244361337,0.8574519851383458,1.1989746202767562,-0.9045908931759105,-1.118035697762694
0.3179819297491441,0.9413894345038036,1.2897875307041196,-0.896629357467605,-1.0730212898592326
0.22534660485465466,1.4690742006702602,0.9145572028454734,-0.9323896906173541,-1.1132350404531226
0.3993199761146412,0.8921052371320326,0.9842225225909559,-0.888524759537511,-1.0753659958644357
0.30794416587569884,1.4653071118285275,0.8005834559098848,-0.8931839273809103,-1.1585233134574133
0.26407268491853697,0.8859324069741412,1.0686516297132789,-0.9222426871548599,-1.1554977179439674
0.03367127235695541,1.458063156450926,0.6084550800231269,-1.0774981211547587,-1.3371534611400053
0.08129235276073196,1.1457661826695325,1.0024137140399876,-1.0165399785741371,-1.4571545525851899
0.20161445852062676,1.1520356565554029,0.780107635350376,-0.9694619551342973,-1.2283211204367148
0.17935626092146728,0.7173768722658806,1.1662104807951317,-0.9520292635797025,-1.3129028854289964
0.2088382763755438,1.276698868776353,0.893485712971587,-0.9483095207611777,-1.203389605003442
0.33571781313167265,0.8160327536913821,0.992373515059662,-0.9624273728716035,-1.221625423662354
0.37998918854091435,1.0810659927970925,0.8403540153735987,-0.9287775478595636,-1.1872643325139227
0.18512815795161036,1.0633218828154665,1.0865611952422767,-0.9305350304916681,-1.2279697758699597
0.17863934479347532,1.1111315009555969,0.8990468267013342,-0.958965964401714,-1.2934405487994274
0.2569601732967607,1.095420691231371,1.142163904282563,-0.9769854546829793,-1.1237175683815517
