k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
-0.010727932908379275,0.9895881146899652,0.9938797374925634,-1.0097325906551715,-0.9990493029981071,-1.0055657025629734,-0.49,-2.04,-0.58,-0.39,-2.1,-1.98
0.007744212315407383,0.9948416561677905,0.9764645448508618,-1.0106193057349135,-1.0036316667485012,-0.9997450915818994,-0.49,-2.05,-0.57,-0.41,-2.12,-1.98
-0.017174475411941274,1.0053669624480528,1.0374062980500725,-1.0011318235509292,-0.9863247704665532,-1.0061559759754566,-0.6,-1.99,-0.71,-0.49,-2.06,-1.92
-0.012078621189097262,1.0143885361627376,0.9948972563599062,-0.9912201873560962,-1.012813232681284,-0.9975522631813967,-0.5,-1.99,-0.59,-0.43,-2.05,-1.92
-0.021919526139979315,1.0162712757621657,1.0260684809003975,-1.0058717869211604,-1.0016971141996183,-1.0010197463097095,-0.49,-2.01,-0.54,-0.42,-2.05,-1.95
0.008966441877657551,0.9828886501111455,1.0237195094269629,-1.0127045556091914,-0.9851869004833969,-0.996273478949019,-0.58,-2.14,-0.69,-0.48,-2.22,-2.06
0.03151513090320633,0.9798901987628994,0.9757075987477414,-0.997089125686986,-1.0006415374008064,-0.9840930255268966,-0.45,-2.04,-0.57,-0.37,-2.13,-1.93
-0.018105862026445582,1.0143365308445764,1.011780930091947,-1.0009208980413296,-1.009359704920116,-0.9920488475344359,-0.53,-2.01,-0.61,-0.45,-2.07,-1.96
-0.0129566006986529,1.0157670443186086,0.9938584922745868,-1.0119435631383884,-0.9862059465795373,-1.0016448619933143,-0.47,-2.02,-0.58,-0.38,-2.12,-1.91
0.020365747384663048,0.9968546276923187,0.9792306271527864,-0.9982916928432681,-1.0064050908714663,-1.0013692038100026,-0.49,-2.02,-0.54,-0.43,-2.05,-1.98
-0.03588255248692622,0.9948687010538945,1.004099839541111,-1.0150266482474586,-0.9893477239460976,-1.020165005899333,-0.49,-1.95,-0.59,-0.38,-2.05,-1.86
0.013941925640391923,0.9786529549897991,1.0025905451178256,-1.0014628976258266,-1.004346182639829,-0.9908972422169662,-0.48,-2.0,-0.59,-0.38,-2.07,-1.92
0.003504887115274136,0.9845936879165299,0.9733429088116747,-0.9979018677036527,-1.0095770891095817,-1.0035911092212064,-0.44,-2.0,-0.49,-0.39,-2.05,-1.95
0.00286833489424986,1.0072677901428166,0.983598291782913,-0.9893016799513463,-1.0222253241827572,-1.0047716085801195,-0.47,-1.95,-0.58,-0.38,-2.06,-1.83
-0.005921200496890867,1.0115306316925625,1.032244535471885,-1.003272238554363,-0.9883964499052355,-1.0122463885109807,-0.57,-2.03,-0.71,-0.45,-2.14,-1.92
0.014102916517577002,0.9567795243929155,1.012049536176974,-1.0096164109459695,-0.9876370949150952,-1.0093081017338061,-0.47,-1.99,-0.55,-0.39,-2.05,-1.92
-0.031460346216929516,1.0258697327547708,1.01185086755807,-0.9968962722906286,-0.9885902581523314,-1.009971508256882,-0.48,-1.97,-0.58,-0.39,-2.04,-1.91
-0.005761861506766661,1.0039870263901132,1.0102001776337994,-0.9986597542844009,-0.9992686846217833,-0.9978894739403518,-0.51,-1.94,-0.6,-0.45,-2.03,-1.86
-0.0193740456092979,1.0230553149613897,0.9944623440989027,-1.0033341319649915,-0.9936557883193534,-1.0087106979106255,-0.48,-1.97,-0.54,-0.42,-2.03,-1.92
-0.010582676053090389,1.0134272715488366,1.0233737191597463,-1.0115682285844114,-1.002651855140719,-0.9982047636267094,-0.55,-2.02,-0.65,-0.46,-2.1,-1.94
0.03313541930979734,0.9932285538583431,0.9857158758937072,-1.0004242660948237,-1.0084090743850247,-0.978302157445408,-0.49,-2.15,-0.58,-0.4,-2.25,-2.05
-0.018361660010784972,0.9937115701167213,1.027181262228952,-1.0007932781819529,-0.99839824429133,-0.9955767266738309,-0.53,-1.97,-0.65,-0.42,-2.06,-1.88
-0.02453438972587878,1.0191162996877825,1.001850115100708,-0.9956267072256368,-1.0039875084361896,-0.9998399513086021,-0.49,-2.03,-0.57,-0.4,-2.12,-1.94
-0.009127082443170623,0.9982168821994599,0.9192836544001421,-0.9997845338141915,-1.0243683712781566,-1.0140852765494466,-0.39,-1.95,-0.51,-0.31,-2.03,-1.87
-0.019803882224176235,1.0126859210570527,0.9772871135425234,-1.0043923779603596,-1.0103126710649624,-1.0096480446503393,-0.47,-2.0,-0.54,-0.4,-2.08,-1.92
0.021138374262093387,1.0079941150723026,1.0108124822120352,-0.9929977453665089,-0.9901624359983968,-0.9967281698566347,-0.51,-1.96,-0.59,-0.43,-2.01,-1.91
0.0041472780632273365,0.9904854803152798,0.9586113491048225,-0.9992837443813776,-1.0160055495817173,-0.9950266462117974,-0.43,-2.01,-0.5,-0.36,-2.07,-1.95
0.025961938312404845,1.001715337532167,0.9728239266279344,-0.9939640191266612,-0.9964290469516031,-0.9921867273952273,-0.47,-1.99,-0.54,-0.41,-2.03,-1.95
-0.004304152023757562,0.9899120585651942,0.9838334674571256,-1.0034630611157642,-1.0075204149266905,-0.9967291981431804,-0.48,-2.01,-0.56,-0.4,-2.11,-1.91
0.004997119133091935,0.9966248940938269,0.9952882931393074,-0.9960101887713495,-1.0024348214867995,-1.0027930070118622,-0.48,-1.99,-0.53,-0.43,-2.04,-1.95
0.014168895193223684,0.9829442286893887,0.9527380653142901,-1.0008698649462513,-1.0239751195330329,-0.9947869257982365,-0.46,-1.98,-0.51,-0.42,-2.03,-1.93
-0.011056031398344294,1.0110400266070596,0.9782803382339198,-1.0013929133563555,-1.0079397328455948,-1.000818275266386,-0.48,-2.02,-0.54,-0.41,-2.08,-1.96
0.01344263937158432,1.0002397548718078,1.0215463158485922,-1.0099846926783846,-0.9754263049443905,-1.003540658416493,-0.56,-2.04,-0.67,-0.46,-2.11,-1.97
-0.009630777534771132,1.0050838704946266,1.007115047436352,-0.9961964808018203,-0.9983506171273915,-1.0105852680504688,-0.53,-1.99,-0.61,-0.46,-2.05,-1.93
-0.019671517210882533,1.013775952212957,1.05999541271443,-1.00170595860265,-0.9965959386770613,-0.9927940006209184,-0.6,-2.02,-0.69,-0.52,-2.09,-1.95
-0.007204324006993366,1.0080890026326772,0.9871619732999614,-1.0027500929169464,-1.0043697786142949,-1.0060509021864545,-0.51,-2.02,-0.59,-0.44,-2.08,-1.97
-0.005644177854706093,1.0178599592794186,0.9973873773737929,-0.9949183965325079,-1.000895460642389,-1.0017476740470657,-0.48,-2.02,-0.55,-0.41,-2.07,-1.97
-0.013286639583646967,1.007397662854042,0.9887855360348629,-1.0035617390281901,-1.0136800679046964,-1.0006468844544032,-0.46,-2.01,-0.53,-0.4,-2.06,-1.96
-0.00559077593498013,1.0120660248353026,1.00187007966509,-1.0065113436867885,-1.0071335653478992,-0.9955676292210041,-0.55,-2.03,-0.67,-0.44,-2.12,-1.93
0.04585607643245385,1.0004199939899023,0.9553979212384555,-0.9920516856637526,-0.9992911769724357,-0.9820082558897507,-0.45,-2.0,-0.56,-0.36,-2.08,-1.91
0.03268699672854027,1.0072608399233154,0.9740190307079531,-0.990934302722386,-1.0020547585950323,-0.9866650646369441,-0.47,-2.0,-0.57,-0.39,-2.1,-1.9
-0.007773560523129554,1.0044619992749966,0.9571696580854172,-1.0155106595354613,-0.9971333906817663,-0.9865813600278039,-0.46,-2.03,-0.55,-0.37,-2.13,-1.93
-0.004545575336550629,1.0066527188752654,0.9911813598737906,-1.001824945873088,-1.0046620597385743,-1.0101450194134347,-0.49,-1.99,-0.6,-0.38,-2.1,-1.88
0.018603843518395724,0.9925472039755141,1.010966917367297,-0.9883277630402747,-0.999295709681115,-1.0088474036763677,-0.54,-1.95,-0.64,-0.48,-2.0,-1.89
0.0201581578047767,0.9597260734578477,0.9564689685793537,-0.9843968340731369,-1.012990138931815,-0.9832710283391466,-0.37,-2.04,-0.48,-0.29,-2.14,-1.94
0.010739595988499,0.9942748177659326,0.9899502862891442,-0.9952189220498902,-1.0135364325973302,-0.9908774829232134,-0.49,-2.0,-0.56,-0.43,-2.05,-1.95
0.0010635843882239992,0.9634182952530393,0.9839363227226012,-0.995642472458601,-1.002039076372082,-1.0073891789504152,-0.48,-2.04,-0.54,-0.43,-2.1,-1.98
