k,rho,nu,beta,delta,sigma,lower,upper
0.0033910051054860803,0.97600649847638,1.000034770959192,-1.0026628517292837,-1.0010735858991942,-1.95,-2.03,-1.87
0.003391737392911403,1.012664822715131,0.9940198112876929,-0.9906007104799455,-1.0083323011164018,-1.95,-2.04,-1.86
-0.05017792085707806,1.037777919199459,1.0015259942807297,-1.0106242224713209,-1.0089623116965423,-1.97,-2.06,-1.88
0.0298980605195992,1.0163426404980638,0.9505588177472627,-0.9830147488458145,-1.0012654834029895,-1.94,-2.01,-1.87
-0.009216057080781805,1.0305521213923794,1.0002986660221147,-1.0056613379113175,-0.9931811412764773,-2.04,-2.11,-1.97
0.009903732434850437,1.0014436340705286,0.99846650338509,-1.0009294223055631,-0.9945800140714225,-2.05,-2.15,-1.94
0.061588267020886975,0.9641547460623054,0.9967905895685418,-0.9868776061910947,-0.9722129967026474,-2.09,-2.2,-1.96
-0.015055753296720778,1.0007568475458966,0.98365677584292,-1.0166803392410981,-1.0086162375227783,-1.94,-2.01,-1.85
-0.014671016771656602,0.9769631001141426,1.0257100793196225,-0.9976364215969824,-1.0001300185470032,-2.03,-2.15,-1.91
-0.010366966262444866,1.0266034217475992,0.9740222296430711,-1.0075982218536634,-1.0073799756580355,-1.97,-2.02,-1.92
-0.08342993641056456,1.0449171084514735,1.0079437040474772,-1.0314929072542287,-1.019200082782624,-2.03,-2.14,-1.92
0.03536755930300148,0.9691886168899189,1.0042864758352588,-0.9933308620155643,-0.9826296838944935,-1.92,-2.02,-1.82
-0.010394063180065628,0.9981217633571593,0.9960470505299386,-1.0002501196772973,-1.0117297681975184,-1.96,-2.03,-1.9
0.009395882297107784,1.0096558363880757,0.9883974437837186,-0.9986586539160835,-1.0021306722063448,-2.02,-2.16,-1.88
0.01576687080593378,1.0025770213037681,1.0171122722876844,-0.9929726455089191,-1.0029548317557624,-2.02,-2.14,-1.9
-0.008213447716977799,1.0161589292057789,1.0177605642032135,-1.0041234969424937,-1.00246891918583,-1.97,-2.05,-1.89
-0.0172286415865322,1.020627367344244,1.0241237877213911,-0.998713928323024,-0.9981006193618714,-1.98,-2.06,-1.9
-0.009179769521254013,1.0018548689542905,1.0094175136204964,-1.0146240100329305,-0.9954055310969758,-1.97,-2.07,-1.87
-0.008716996788197214,0.9855146549015014,0.9910010047407327,-1.0148129234558896,-0.9911235365857114,-1.94,-2.02,-1.87
-0.00804185509683661,0.9728307848502511,1.0308523582454594,-0.9944870414780138,-1.0202132932416281,-1.93,-2.03,-1.84
0.046212050154884,1.0016253487867683,0.9620175412991335,-0.9980634866851232,-0.9831599751096289,-2.04,-2.16,-1.92
-0.006781894157799514,1.0061110169031808,0.9961673287088746,-1.0126878793684595,-0.9951892702618488,-2.02,-2.13,-1.92
-0.0008970364747776733,1.0132550789883292,0.9673662312015345,-1.009190143832349,-1.0110177341319306,-1.95,-2.06,-1.83
-0.03490809162517419,1.012847862668357,1.0232151423057179,-0.9974857506276043,-1.0100207811545474,-1.98,-2.08,-1.89
-0.024972467600344873,1.019492588725599,1.0163375878237648,-0.9905866807075996,-1.015064892925936,-1.93,-2.03,-1.84
0.023164960088132236,0.9891668417830541,0.9859981457072767,-0.9961871732140344,-0.9977859685780678,-1.95,-2.02,-1.89
0.033770317776192604,0.998588610552539,0.9806394707506219,-1.001918103106212,-0.9764764084575119,-1.99,-2.06,-1.91
0.0016329465468192467,0.9985451624687269,1.0079929831397436,-1.0019019947144427,-0.9951291624605589,-1.99,-2.04,-1.94
-0.03480316759725707,0.9873647741788102,1.030854648735097,-1.0119716544108455,-0.998115510597998,-1.95,-2.08,-1.83
0.00014713585741282136,1.005339367332457,0.9782361510854957,-1.0108085273704805,-1.009272120613935,-1.97,-2.03,-1.91
0.027574455866722553,0.9909621495908727,0.9498288822070897,-0.9960301046326624,-1.0008098670957577,-2.04,-2.11,-1.97
-0.009127711519014014,0.9972688354902884,1.028958702935833,-1.0016591070436736,-0.9858992814726445,-2.0,-2.08,-1.91
0.010655424704205907,0.9879364165313127,1.0010305103148385,-0.9893366334000706,-0.995468163732441,-2.15,-2.25,-2.03
0.004435405606822998,1.0011368567595087,0.9647609708110787,-1.0142699107477453,-1.001809343093108,-1.98,-2.06,-1.9
8.594712235858231e-05,0.9892518433186321,0.987454242857092,-1.0023585142695013,-0.9891936960630285,-2.02,-2.09,-1.92
0.028249238711163575,1.0084853795909088,0.9296192580642629,-0.9929609671263824,-1.0073117324767888,-2.04,-2.12,-1.96
0.019748334467519807,0.9898110152656396,0.9608689018102406,-1.0090664301683776,-1.0024556291994542,-1.94,-2.02,-1.85
-0.0032765218184160625,0.9926468101625948,1.0040547045938717,-0.9998797721683361,-1.0062191190840586,-1.96,-2.02,-1.89
-0.0053296404144210045,0.9840115334358955,1.0404821451931998,-0.9994226640164908,-0.9900286807762924,-1.95,-2.09,-1.81
0.041198224655337734,0.9805337527936748,0.9891210619869872,-1.0041660324825927,-0.9803725443555229,-1.93,-2.04,-1.83
0.03152744484632927,0.985614124003083,0.9882223740818998,-1.0072969640342224,-0.9785509301409561,-1.97,-2.09,-1.84
-0.004347872238720511,1.0008116494366486,1.0164839002198855,-0.9942650390802898,-1.0024213105582405,-2.0,-2.12,-1.89
-0.030082653933780047,1.0322902934186886,1.0142352045039615,-0.9996266158123309,-1.0027776186439712,-2.05,-2.17,-1.93
0.04032845866746147,0.967768410006627,1.018069322557912,-0.9923319762349836,-0.9787370901697839,-2.04,-2.12,-1.96
0.007885945581228137,0.9855909454432152,1.0001103479136195,-1.0018686742611287,-1.0062994370819265,-2.09,-2.2,-1.98
-0.014796648765713528,1.0087836346858916,1.0058053335324635,-1.0084830253279122,-1.0015256170245026,-2.01,-2.07,-1.95
-0.027181282186974208,1.0258643522871673,0.9836621823886844,-1.0162659853959033,-1.0144651640031794,-2.01,-2.08,-1.93
0.019775638816687993,0.9877955516741292,0.9924121530346155,-0.9987337856746398,-0.9976777727254292,-2.0,-2.07,-1.91
0.03835971572951288,1.0014103240797714,0.959000002542399,-0.9898897063291295,-0.9913590437563558,-1.99,-2.06,-1.91
-0.02241157938963372,1.036478341687208,0.9742519416984246,-1.0130308707012279,-1.0039061363603352,-2.15,-2.26,-2.04
0.03170522150923321,1.004377201188007,1.0015682197576972,-0.9878565177303363,-0.9836389741688351,-1.96,-2.07,-1.86
-0.02538206903197021,1.0282538400360461,1.029822605695757,-0.9940794839885254,-1.0024796884111913,-1.98,-2.08,-1.88
0.019947272069999092,0.9813087118370587,0.9820015361553367,-1.0002808348484826,-0.9974232291652589,-2.02,-2.08,-1.91
-0.005674804483523697,1.030497489881871,0.9964071559112746,-1.0030886581987568,-0.9938145808723791,-1.97,-2.09,-1.87
0.019916434399432897,1.012618691072759,0.9622681250706371,-0.9872606607883594,-0.999418712106367,-1.97,-2.04,-1.92
0.003980118823807,0.972704373586218,0.9891105946324306,-0.9921931151588224,-1.0180557214783292,-1.94,-2.02,-1.87
-0.024801743105638145,1.0174763209573123,0.9822523878719912,-1.0207102979999263,-0.9983996875821386,-1.97,-2.08,-1.85
0.002038228247023794,1.0017219380587654,1.0046826061916958,-0.9960922611997979,-0.9956120625413775,-1.99,-2.07,-1.92
0.025305708305345023,1.0155662423832457,0.9703418994196723,-0.9959432791417643,-0.994564727419327,-1.96,-2.04,-1.89
-0.018691207113676948,1.0224552324504348,1.0063081620513805,-1.0063938606572473,-1.0009640924981789,-2.0,-2.09,-1.92
0.009812694026809073,0.9617290216506065,1.001407390661302,-0.9950788432015192,-0.9926179139538267,-1.93,-1.99,-1.87
-0.04582481089100546,1.0087073250020757,1.0278160632288698,-1.0162127559259548,-1.0081180092715516,-1.94,-2.04,-1.86
-0.0026064771397602757,0.988188882834051,1.0187255424766875,-1.0079752547324563,-0.9952972008334617,-2.0,-2.06,-1.94
0.003899831709558958,1.0107625602307873,1.0014173140108262,-1.0028160702342066,-1.0090404565491544,-1.95,-2.01,-1.89
