k,rho,nu,beta,delta,sigma,lower,upper
0.3165494523380955,1.4604433871786036,0.7869496908210487,-1.0467695284895675,-1.0928402383899471,-0.48,-0.72,-0.3
0.29026198551798676,0.9347658539789141,0.8640246406654959,-1.1264452744419722,-1.2353841225250235,-1.03,-1.22,-0.82
0.4255833513116848,0.9674864419593673,0.5771866961178371,-1.034951772829631,-1.164001188820724,-0.23,-0.41,-0.15
0.3031942421350895,1.0809349423000156,0.7623903495460418,-1.1225092078156926,-1.2068239652042383,-0.54,-0.76,-0.36
0.583427946875267,1.2948964956944709,0.5929544827014919,-0.9543122919672142,-1.0543937443803304,-0.31,-0.53,-0.19
0.24775969315733498,1.0232006953152968,0.7168702739879658,-1.1389481950031723,-1.2373520204931097,-0.28,-0.47,-0.19
0.29258786140787685,0.7557602053572116,0.9779643015312114,-1.095926191685567,-1.2369254805081444,-0.88,-1.17,-0.56
0.4416339248223351,1.070026716430239,0.760131448405948,-1.080751810826064,-1.130026050881442,-0.58,-0.75,-0.43
0.24495699831532713,0.8224184247080876,0.9252014008645881,-1.0960887943295594,-1.1291072489434604,-0.49,-0.76,-0.3
0.2611720002850807,1.8879141135127253,0.6377733621012407,-0.98420429240142,-1.102730709632346,-0.28,-0.42,-0.2
0.3997029904973501,0.6519362163507052,0.7634853390775889,-1.0816583863361715,-1.1271202216019012,-0.54,-0.78,-0.36
0.5215481784746154,0.93683933732353,0.6422967608927697,-1.047825519100983,-1.1331172420738462,-0.48,-0.68,-0.32
0.7670708634255632,0.9975845983224182,0.561634398175821,-1.035039069647307,-1.1178655099369168,-0.77,-1.08,-0.46
0.46705141649660503,0.7612930040033885,0.7124035910309232,-1.0620972730194431,-1.1444505369506626,-0.58,-0.84,-0.4
0.44009033999219405,0.7729430729300425,0.7612662218412005,-1.0305048385522255,-1.0756926486283285,-0.41,-0.65,-0.26
0.4854737540423672,1.2088390658115218,0.5868590774353307,-1.1404122605131648,-1.1849240796182925,-0.63,-0.93,-0.36
0.2623054185153846,1.051669898929538,0.7892855007257007,-1.103962516653469,-1.2042047399050293,-0.39,-0.57,-0.27
0.5328705402946357,0.8497537015031555,0.7730135453031401,-0.9705438366314851,-1.0269293470172114,-0.48,-0.68,-0.35
0.5720289944717049,1.1268556098564808,0.7222491712192388,-0.9803559824452374,-1.0565016998385752,-0.56,-0.78,-0.35
0.40680626233259265,0.5812383795380354,0.6971611877755535,-1.031198630687527,-1.161460833347492,-0.32,-0.47,-0.23
0.615754378071127,0.7110098780324297,0.5129211404785688,-0.9847031780077526,-1.1418631607110468,-0.27,-0.51,-0.17
0.23251273270062006,0.7172554317027412,1.0161435452574588,-1.0932830122999613,-1.1846785366220498,-0.68,-0.94,-0.32
0.39241974543156266,0.9957079072713844,0.6410480225629206,-1.1235721382179649,-1.237298067869775,-0.77,-1.04,-0.53
0.3430921019041615,1.036531764396607,0.7969372555869747,-1.0736618216708926,-1.139263217945789,-0.45,-0.66,-0.31
0.2842264862524882,0.9176744433445319,0.9303120718114115,-1.167394844246644,-1.20256909781578,-0.95,-1.22,-0.67
0.41816247709109255,0.8712684239149513,0.7444459851673222,-1.061124586425242,-1.134927735928328,-0.34,-0.49,-0.25
0.40768092857259625,1.0824790014294878,0.8237363535154716,-1.0999103318396828,-1.1765066406333737,-0.9,-1.15,-0.65
0.3711864846974804,1.250226419866395,0.7791709059854104,-1.0642828522469876,-1.1692970104879947,-0.53,-0.74,-0.35
-0.12495806454093349,2.0387211426013234,0.6885310758319183,-1.2110790587126468,-1.1959083294119972,-1.34,-1.69,-1.02
0.5391773662480989,1.819333854278184,0.6861759244251457,-0.9542982414945202,-1.0144466055705164,-0.39,-0.62,-0.24
0.34632486424217784,1.1949408412819125,0.9118939316475643,-1.1428472914840502,-1.16125505889871,-0.9,-1.15,-0.67
0.27935397036487686,1.9028896269550302,0.6446980920320894,-1.0052886516111816,-1.1002892422963249,-0.57,-0.83,-0.32
0.10567463948627498,1.2787826438364562,0.8122127669720649,-1.2124529743570687,-1.2944028315453746,-0.86,-1.11,-0.6
0.3642009462782704,1.30342075897756,0.7757821400820326,-1.0800121685660073,-1.1389405762856493,-0.79,-1.07,-0.49
0.5219061728278611,0.8855966217520564,0.7037274090023891,-1.026482818295614,-1.0538819591607684,-0.41,-0.57,-0.3
0.2294108704364787,1.3032015458259336,0.6446348319119743,-1.1548252662684106,-1.2798973136305098,-0.78,-0.94,-0.61
0.18292433035891884,1.515245847436786,0.6115328667377906,-1.072796149518148,-1.1787706832546079,-0.24,-0.38,-0.16
0.5927508409989695,1.5020513334613987,0.6589619131105162,-0.992222219179062,-1.0624790996795586,-0.48,-0.74,-0.25
0.32290157103001715,1.2715627339236066,0.5905331706842325,-1.126780378062853,-1.2038845332672659,-0.79,-1.03,-0.56
0.49058802640401455,0.8801023774907208,0.7305880303223256,-1.0193429321131333,-1.078778358825208,-0.36,-0.53,-0.25
0.3428421738256534,0.9183202709724638,0.8072694748899145,-1.1167502006313557,-1.1765912153896925,-0.79,-1.08,-0.5
0.44628699814533046,0.5840354841447399,0.659724842081159,-1.032766748984264,-1.0571314931834874,-0.37,-0.57,-0.25
0.38891929430790506,0.5533850739861286,0.7927483157742671,-1.0532021021076712,-1.1597488520215602,-0.49,-0.73,-0.32
0.48322997285769753,1.1434218285767956,0.6049391385327388,-1.0489390496602147,-1.1156817782971524,-0.35,-0.49,-0.26
0.306910382498668,0.6989588488414584,0.7729422870949905,-1.0608724661992017,-1.171634949060963,-0.38,-0.6,-0.24
0.4685795492512942,1.8952348091125615,0.5592453796493251,-0.9123392532875126,-1.0755352622313366,-0.45,-0.72,-0.25
0.3908754066482636,0.9391877883979627,0.723500657854907,-1.120591287361348,-1.1986135805936655,-1.04,-1.21,-0.86
0.46543004283397793,1.3282089738126244,0.624053467628527,-0.9910137659232928,-1.0490831848874391,-0.38,-0.58,-0.25
0.5298446608261246,0.7697368791563987,0.7888417932274059,-1.122083443141936,-1.1857264579083262,-0.92,-1.16,-0.69
