k,rho,nu,beta,delta,sigma,lower,upper
-0.009151362768755745,0.9573004411759045,1.019228608595887,-1.0085089572790364,-1.009647534439102,-2.06,-2.13,-1.99
0.001888734372973844,1.0184337153664194,1.015911561732382,-0.9939133452227779,-0.9898580921898908,-1.95,-2.04,-1.86
-0.016489340831390864,0.9793372208953525,0.9972610918799817,-1.0125604320183537,-0.9983262834549245,-2.04,-2.13,-1.95
0.007493068919713141,1.0123875620811884,1.0132571958081393,-0.9779324055737421,-0.9970677322040122,-2.04,-2.1,-1.95
-0.013127085486889923,0.9983886469416925,0.9932065470190514,-1.0007826334836767,-1.0093448213644116,-1.97,-2.04,-1.9
0.0242905122145758,1.0130105492637678,0.9734280293071579,-0.9961111267694382,-0.9898728594912769,-2.01,-2.11,-1.91
0.05413743203919463,0.9664395156795474,0.9987636668774169,-0.9780589578889941,-0.9731860838218822,-1.97,-2.09,-1.84
-0.029803018189287177,1.0043698277377424,1.0241064561080147,-0.9959968922110201,-1.0040381712651067,-2.04,-2.11,-1.96
-0.031064000671832168,1.0298453037452804,0.9855403322329237,-1.008098316761143,-1.0079335184382856,-1.95,-2.06,-1.83
0.010595762634422471,1.003483878335956,0.9977642750163771,-0.9973050117014698,-0.9999556106432274,-2.04,-2.09,-1.99
-0.04105911184564554,0.9797552303062933,1.0125755154290523,-1.0053614960625934,-1.0132603898048322,-1.89,-2.01,-1.78
0.019525794271134326,0.9997315371241526,1.0041486432369866,-0.9986668911039962,-0.9926808772668175,-1.96,-2.06,-1.87
0.011412535035191294,0.9808639232238425,0.9870561998476666,-0.990320162314511,-1.0002537681682901,-1.98,-2.04,-1.91
-0.02347472790606495,1.0009258412923576,1.0286934697979255,-1.009852281676614,-0.9958020885905544,-2.21,-2.36,-2.08
-0.012199967320416834,1.0287452818040048,0.9841813058463976,-1.0025540075903117,-1.0144042150450412,-2.06,-2.19,-1.94
-0.015137437627744254,0.9916959056712621,1.0376881370657611,-0.9997672993815298,-0.9969181076045934,-2.07,-2.15,-1.99
0.02818968971209157,0.9797356705895266,0.989055278546146,-0.9987619164879554,-0.9641114414837401,-1.91,-1.99,-1.82
-0.03332921404669349,0.9949765062112104,1.0365722840192937,-1.0063920139677502,-1.0116839562372584,-1.98,-2.08,-1.88
-0.024473880249981737,1.0149957334896516,0.9931036838087535,-0.9939066118298445,-1.0146211663892872,-1.96,-2.03,-1.88
0.010107444178878523,0.9848398381930363,1.0153770154069748,-1.000310963859385,-1.0034828713508617,-2.01,-2.11,-1.92
0.0293245486083108,1.0206135476573381,1.0198729798251818,-0.9930629063331892,-0.9828658687051542,-2.08,-2.2,-1.95
0.012087371858577969,1.0039525505039109,0.9697879569731329,-0.9898523308784567,-1.008782621336881,-1.88,-1.99,-1.78
-0.006525595567041893,0.9897518766630118,0.9836050667665606,-1.0083860408255334,-1.002799862139495,-2.02,-2.13,-1.9
-0.06745147666454837,1.0595256375277105,1.0169289976602762,-1.0144239934899226,-1.0058022232712343,-1.98,-2.08,-1.89
-0.007938105550739554,1.0112998101682817,0.9635171737974146,-1.0026950057813395,-1.0219775780863334,-1.97,-2.07,-1.86
0.02391535076143686,0.9959295018756896,1.023981984640247,-0.9794550084244941,-0.9879131564040834,-2.01,-2.08,-1.95
0.015288005380524772,0.9923047806806806,1.0144946281644485,-0.9922527226465068,-0.9915290603825078,-2.04,-2.12,-1.96
0.016104373970274657,0.9986116234081339,0.9734083529710319,-1.0049869989956404,-1.0099959154992164,-2.0,-2.05,-1.95
-0.046239542536995776,0.9711461843354412,1.0504907631305926,-1.013905798213314,-1.016031322150985,-2.02,-2.15,-1.89
0.005088386300584112,0.9865599718189978,1.0034099641923602,-0.9960541481330556,-1.0094292218535124,-2.0,-2.06,-1.94
0.012020380401562038,0.9608092576092906,0.9871808530430488,-1.0073362746165477,-1.009028402479123,-1.94,-2.01,-1.87
0.012248368926761228,1.0245182092057787,0.9995369219505651,-0.9901003834010407,-0.989921428295373,-2.04,-2.13,-1.95
0.04052778307479063,0.9863779438344134,0.9729979330118572,-0.9922615413439706,-0.9929215493990101,-1.94,-2.05,-1.83
0.00470304879057317,1.0165291965706578,1.0062521910668893,-0.9956368285178223,-0.986972068053138,-1.98,-2.06,-1.9
-0.018729016123313142,0.9992646045992728,0.9782770786063895,-1.009926248666719,-1.0003428156499323,-2.0,-2.09,-1.91
-0.02394591256676446,1.0106982551263992,1.0281365264364242,-1.0001551206229102,-1.005857449743381,-2.0,-2.08,-1.92
0.034288999316798324,0.9848275959560813,0.9972824478994546,-0.9880245349421888,-0.9890954326033419,-2.02,-2.1,-1.93
0.011437248786455686,0.9964736458969041,0.9850074467743748,-0.9937715823213573,-1.0000510055175265,-2.0,-2.07,-1.94
0.005633769598182984,0.982756306775366,1.007743042991701,-1.011514777685088,-0.9884689613066144,-2.11,-2.24,-1.98
0.04398266995039156,0.9865124758217949,0.9918213523204629,-0.9836766829027135,-0.9957423242748156,-1.99,-2.09,-1.88
0.023621896195890002,1.0070982386568597,0.9759287734927511,-1.0001932949691774,-0.9870068866564647,-2.03,-2.15,-1.91
-0.025082271423500488,1.0215755071388015,1.016303613842806,-1.0068863851038792,-1.002980261530229,-1.99,-2.11,-1.87
-0.008971200305098088,0.9954059778859832,0.9897805990004727,-0.9982941700984571,-1.0037335539296592,-2.01,-2.14,-1.88
0.031859003150420756,0.9877828807729008,1.01516390522165,-0.9864142286956659,-0.9888347179532055,-1.97,-2.05,-1.89
