k,rho,nu,beta,gamma,sigma,lower,upper
0.2005232931679432,0.9421433504809963,1.3529597256214712,-1.0921630860429716,-1.1260758717278874,-1.69,-1.85,-1.51
0.18260371136575915,0.8744753585084508,0.9884778623361468,-1.162048212518487,-1.2493837600130866,-1.89,-2.06,-1.72
0.23116707518622642,0.870014257297206,1.1163057097506734,-1.0873868672946463,-1.1771733034089418,-1.27,-1.46,-1.08
0.13548516327611174,0.8234032848286567,1.3874338555802002,-1.1570387666951627,-1.1926782142396488,-1.54,-1.72,-1.36
0.332882104851098,0.8697616993550676,1.3431491290365416,-1.0373749888152703,-1.0771585315794066,-1.6,-1.78,-1.41
0.1417092870238248,0.9494102300900904,1.1425145744585992,-1.1699168152271433,-1.1925354108331718,-1.48,-1.73,-1.25
0.16446075642285685,0.9239285060467477,0.9874106306885839,-1.1412320647457095,-1.2358748150533627,-1.79,-2.0,-1.59
0.31687300987313055,0.8128425078061948,1.3123559594205214,-1.102174992669143,-1.1094223839381683,-1.58,-1.76,-1.4
0.13438231065962325,0.971964708304216,1.0213007357737856,-1.1225673123753286,-1.1605333476491824,-1.54,-1.78,-1.31
-0.04189009497455676,1.026589855133039,2.0278924519024137,-1.0753364957770843,-1.0339751403462791,-1.74,-1.84,-1.62
0.24300427334611768,0.8579294691875974,0.8135854821719679,-1.117453122558858,-1.1791427448954286,-1.54,-1.74,-1.32
0.45158729031196176,0.7417983323338464,0.9490181129924031,-1.0747595095987892,-1.138023026370249,-1.4,-1.65,-1.14
0.350979271362898,0.7553503490311021,1.2449026814453907,-1.1331818411330978,-1.1570201533868192,-1.81,-1.96,-1.67
0.3688761300279243,0.7851288325840453,0.8671553167524366,-1.0885447102118468,-1.1547896991091728,-1.5,-1.8,-1.17
0.2658154561010982,0.8617258588518579,0.9997635423778037,-1.0660199546299365,-1.135576657537666,-1.42,-1.65,-1.16
0.21683866276513009,0.6727540222070394,1.3190122086494285,-1.1996390422771173,-1.2336993627951514,-1.48,-1.66,-1.29
0.0788628765296796,0.9703387815650718,1.2526351746653805,-1.146476711181117,-1.2120545023323541,-1.56,-1.72,-1.39
0.34366050857404107,0.8372090212652983,1.0774025765659934,-1.019271605121166,-1.0815090488041332,-1.38,-1.59,-1.16
0.2976371348648764,0.9098517461909581,1.2595208996472738,-1.0616432865704786,-1.1039381108734407,-1.64,-1.81,-1.47
0.30033656654045593,0.8729135526076996,0.8317377488070021,-1.0790501236197731,-1.1545859742508677,-1.42,-1.58,-1.25
0.3977167691776486,0.8219762760947953,0.8370466537075167,-1.055450079582351,-1.1460538634713662,-1.54,-1.8,-1.28
0.1815241831874705,0.9529894795162861,0.9827844203987552,-1.116310112316334,-1.1768917355065696,-1.71,-1.89,-1.53
0.20587780555252977,0.7171066676008355,1.1668275767227385,-1.1758422221601783,-1.2478033889973945,-1.74,-2.0,-1.48
0.24067208309774166,0.9529964641546054,1.062471755605165,-1.0949819142772732,-1.1552261369400962,-1.6,-1.79,-1.39
0.06741648392785092,0.9834572795597976,1.1593649113020423,-1.2022852110953728,-1.2329993008845628,-1.78,-1.97,-1.59
0.27460875882481395,0.8819578925723813,1.1770015872070643,-1.0960335612888734,-1.122100347492054,-1.62,-1.75,-1.47
0.23900895620603013,0.8570248731960619,1.1634217264342122,-1.14477396634345,-1.2036968710962372,-1.85,-2.01,-1.71
0.23995561621225817,0.9036917177849367,1.2683642520938396,-1.1312647173002297,-1.1681914533908517,-1.65,-1.78,-1.53
-0.17004101731009774,0.7065440877096529,1.849839056671795,-1.2489322978444304,-1.2387156490675757,-2.01,-2.33,-1.73
0.1983498679469074,0.8992646149895811,1.7353534635953691,-1.0500396932391447,-1.0704415363631532,-1.71,-1.85,-1.57
0.0696708897109973,0.9051236584888165,1.4357571566457734,-1.194140192077805,-1.1899636122215502,-1.76,-1.92,-1.59
0.26516764531785,0.7901800365648715,1.6120923532451485,-1.0662049601022345,-1.1006031283342663,-1.84,-2.07,-1.63
-0.007104079461500053,0.8457903169757226,1.2905047519824673,-1.2484675043080495,-1.3069581372141377,-1.85,-2.08,-1.69
0.10519809102105478,0.9195698756600554,1.4082050608814791,-1.1479897915802528,-1.168983166674053,-1.78,-1.96,-1.59
0.36124801936444406,0.7947324400746851,1.1621899136459346,-1.0591999611987113,-1.0680022403563634,-1.54,-1.74,-1.32
0.09259604106046379,0.7884148062588596,1.4218834238578968,-1.1928502605576354,-1.2922504921335807,-1.83,-1.98,-1.68
0.035999712989600495,0.8395891001549524,1.7492606591500492,-1.1085605040994095,-1.1518316555221069,-1.52,-1.72,-1.3
0.2992493528197462,0.8730709209900854,1.4515572989530088,-1.0811759040744717,-1.088942265349917,-1.8,-1.96,-1.64
0.28824199812965795,0.6917468304269293,1.1911512375425255,-1.1413465197206918,-1.2081574093937222,-1.48,-1.74,-1.23
0.3831809421295248,0.9141523172614776,0.9337058889835186,-1.0417635743230167,-1.0962552975137196,-1.23,-1.5,-0.97
0.24562401563010527,0.8406568138463117,1.035597307846377,-1.1472956898796014,-1.18273962256137,-1.85,-2.05,-1.55
0.3352584041292128,0.8031390276931711,0.7882413579605296,-1.065534410816063,-1.0829389967784315,-1.38,-1.61,-1.16
0.25499053249536463,0.8670331444903825,0.7424145164293243,-1.09362626177604,-1.18540632310367,-1.52,-1.75,-1.29
0.32565284727672406,0.8295569920056189,1.234150984178986,-1.0837303160119878,-1.1297664745967844,-1.5,-1.71,-1.28
0.229002707736289,0.8605158818544518,0.9339093003495802,-1.0875659300420093,-1.1642197041549873,-1.56,-1.79,-1.32
0.4483416540737243,0.8086895749107091,1.4644669649882534,-0.9871268306730301,-1.088629482198268,-1.47,-1.67,-1.28
0.2545210489028962,0.7480463330261096,1.0282916621405112,-1.1606612652363089,-1.2121257525073736,-1.83,-1.98,-1.67
0.2333912521671821,0.8409454771125244,1.449562320512189,-1.061040261733754,-1.0826026521558243,-1.6,-1.77,-1.43
0.2788216642141875,0.8402688505801696,1.0324003406273186,-1.17789900070358,-1.1993039870999715,-1.84,-2.01,-1.68
0.1776497739462942,0.8183549294953997,1.2774734871952855,-1.1287834725124197,-1.223721214772246,-1.65,-1.88,-1.41
0.2298537037527253,0.8297445501199536,1.0026017584307434,-1.138104993623677,-1.2535430534489056,-1.6,-1.78,-1.4
0.04388894538491479,0.8059454764787221,1.6707326133069427,-1.1531843328890568,-1.1952447203188237,-1.29,-1.5,-1.04
0.4644786465059283,0.777619884151121,1.276694783289094,-1.012655720323202,-1.0965946615244708,-1.56,-1.76,-1.35
0.32724337675845044,0.7427251696838372,1.2592366073494201,-1.0734739811366227,-1.1004739484231316,-1.31,-1.52,-1.05
0.007269677048552723,0.9645921278346196,1.5879829034861686,-1.1775952374800065,-1.2640046864543908,-1.96,-2.06,-1.85
0.11676130699274564,0.8975118822294335,1.6640371191568488,-1.0794912026465744,-1.1306000403490208,-1.39,-1.57,-1.21
-0.031480575331589836,0.9646093382214243,0.9844487130332819,-1.279972365951985,-1.3508917520772155,-2.09,-2.31,-1.88
0.38798357468342337,0.7354610915511604,1.2098863200098928,-1.0894769598124656,-1.1093058425759303,-1.63,-1.8,-1.48
0.1121670184952189,0.7461631258458619,1.4683740275976445,-1.214281923060476,-1.2647411007402924,-2.01,-2.17,-1.84
0.19069378001177187,0.8740948212456647,1.2155087107868545,-1.1282040921916976,-1.1528259357430863,-1.46,-1.65,-1.27
0.004178807994800119,1.0228679524558455,1.799011672290101,-1.1504283817028598,-1.088549546076822,-1.89,-2.02,-1.76
0.2491304114966234,0.9239140454743655,1.0164872301894916,-1.0932654815508545,-1.1204836133051352,-1.38,-1.6,-1.14
0.36684790324211625,0.8562951395324598,1.197698595463192,-1.0121973290015036,-1.1250250723797124,-1.34,-1.51,-1.17
0.3170949144723266,0.8316124143930329,1.2578073880933158,-1.031671549119771,-1.0900909181355067,-1.63,-1.77,-1.49
0.24089078752066934,0.9123245180906752,1.057390362856518,-1.1316151053540904,-1.1755456043310732,-1.22,-1.5,-0.91
0.4345949777110681,0.8347851303623969,0.842187900566524,-0.9585047336497639,-1.0573263519313367,-1.31,-1.65,-1.01
0.12160671293629496,0.8386813149168719,1.2841458894987376,-1.1843888224253885,-1.2748243680860958,-2.03,-2.18,-1.89
0.17681460823297881,0.7829814454079509,1.7257577151728953,-1.1343841828003025,-1.1372671611781255,-1.83,-1.97,-1.7
0.13811856890341564,0.890366136194767,1.400064919726551,-1.1349462637219196,-1.1686624424922867,-1.7,-1.82,-1.56
0.31314975732509526,0.8080078462724856,1.3703330774040154,-1.092363297870822,-1.135627698089419,-1.77,-1.97,-1.55
0.3309413605751548,0.7730478157526792,0.7605189208042635,-1.0572907554430504,-1.1113426046433634,-1.17,-1.44,-0.9
0.22368610417734763,0.9300901758716098,1.3486558274909901,-1.1311837155139548,-1.1421454726487328,-1.53,-1.7,-1.36
0.3822792891337075,0.8386465466305091,1.2575262378883245,-1.052239863679823,-1.0684509828779043,-1.6,-1.76,-1.44
0.47409693330066405,0.8399452592215455,1.3336235682766096,-0.9795672512816475,-1.0368544527998849,-1.54,-1.67,-1.41
0.30000721525371565,0.8477553492026062,0.8067848829956434,-1.1113903796965334,-1.1578193131559833,-1.31,-1.54,-1.07
0.11890826726270934,0.6866674478234791,1.529906962404137,-1.2138595722037557,-1.2516851361660426,-1.74,-1.92,-1.56
-0.05239924602032374,0.9929218153001395,1.1336073569585765,-1.2446706781328767,-1.3192946209859513,-2.06,-2.28,-1.85
0.23791047770880702,0.9523166261715674,1.0944122583908513,-1.1346244050510528,-1.1451327443096324,-1.81,-1.97,-1.63
0.33821989463565094,0.8820552292068691,0.9454689938974874,-1.0688568621937802,-1.1550014286187342,-1.33,-1.58,-1.07
0.1208014991077126,0.8668575723808568,1.043899115589304,-1.125293021193467,-1.172569215972437,-1.15,-1.45,-0.78
0.3767324513513455,0.880519773614395,1.14299503838743,-1.0472739589829951,-1.0948185080272457,-1.5,-1.67,-1.33
0.15604559558545908,0.9041281727316184,1.1362607169167525,-1.1122718959768587,-1.1750642487984662,-1.7,-1.86,-1.52
0.1464331693885288,0.8815450391776266,1.4292854283331042,-1.1229632008014785,-1.168907437788027,-1.66,-1.82,-1.5
0.19387691240373217,0.8613810896857474,1.2999461164808284,-1.0952174520311249,-1.1039789178678636,-1.73,-1.87,-1.57
0.34932355717618935,0.8325919399057748,0.8898428333892221,-1.0809686874314417,-1.1661207387947956,-1.78,-1.98,-1.58
0.3410797594195991,0.8196433486196233,1.287527245841337,-1.0330058510542528,-1.0793537898644399,-1.5,-1.72,-1.27
0.15276707674617898,0.6855508011248592,1.4683383961779688,-1.226583847310988,-1.2598490850098922,-2.19,-2.34,-1.98
-0.09633554018225524,0.9570654263809476,1.5145040611608125,-1.1926756530557778,-1.2922761546854564,-1.78,-1.9,-1.66
0.36601423323631266,0.7366368115472671,1.0463095074425017,-1.0806967534675131,-1.1332432331073976,-1.19,-1.44,-0.94
0.32311374175456153,0.8037190363383786,0.997450158429359,-1.053099076459808,-1.1458006118648347,-1.41,-1.6,-1.23
0.3885249497848885,0.7980287431265958,1.2523770108424233,-1.0663720190950596,-1.1111321963907441,-1.62,-1.84,-1.4
0.1440054466963265,0.9359389325806875,0.9246822226200786,-1.119639533347101,-1.2110032147366678,-1.23,-1.48,-0.98
0.38270872582611215,0.765530975603627,0.9706774975150827,-1.0758792666945554,-1.1315555362463612,-1.5,-1.78,-1.21
0.2922533673335499,0.8746407837453176,1.0917133287795668,-1.0793079844372926,-1.135574782537994,-1.65,-1.81,-1.47
-0.1704986645684104,0.91303703373527,1.3306583857568355,-1.2809481874066582,-1.4283308330314088,-1.6,-1.81,-1.38
0.09399801560462781,0.9004991801340962,1.266131379505051,-1.1821469530407063,-1.2651441200403912,-1.75,-1.92,-1.58
0.33989073434581996,0.663643621513387,1.2652029740848167,-1.1509760527491486,-1.1764736451673752,-1.69,-1.87,-1.5
0.18062137631583852,0.9381357220948054,1.5133030729972994,-1.0862332301812851,-1.1359441296707347,-1.46,-1.72,-1.17
0.2533916949268128,0.9579401645953982,1.3907668306553518,-1.086345445046934,-1.1081588385776537,-1.57,-1.76,-1.39
0.1634794388495463,0.8853786381386901,1.3381003896446946,-1.1606478989600943,-1.1957963638437885,-1.85,-2.01,-1.66
