k,rho,nu,beta,delta,gamma
-0.0004768681607785208,1.0885988798931951,1.000549205489451,-0.9811148645909576,-0.9181987720979178,-1.0780339436568134
0.01874891977437504,1.0421554128411998,1.0098075507634863,-0.9885141164517591,-0.9762295918171212,-1.0421142753098698
0.005747335326951708,0.9730121838943553,1.0758160056968742,-0.969725537885875,-0.9183195291262496,-1.1054874988557186
0.05709106399486119,0.8723427326824214,1.1003731873374063,-0.9673751505537878,-0.9295929913091341,-1.0325507329473165
0.04367339915406315,0.9411902700003398,1.0418511916950068,-0.9640069932247923,-0.9146243406385801,-1.1150276596812283
0.052814805770387704,0.9542226149179098,1.065414225219603,-0.9923933667413377,-0.9302283290989013,-1.0246986452020779
0.025564077803373664,0.9265014593410545,1.0903844309128587,-0.982821119597499,-0.9611279335986144,-1.0607470174968143
0.05953486563910948,0.8982189119283241,1.0984941687457028,-0.9809315909612808,-0.9474147850486769,-0.9857061855252484
0.017352297756837498,0.9190049222504559,1.0874385554155395,-0.9988461811135491,-0.9458719538616591,-1.0299989545208388
0.16659208911881573,0.8531076117255783,1.0002577859140387,-0.9397196186664927,-0.878593048580625,-1.0991434177633341
-0.01744090312606761,0.9692614918360685,1.0538180759050495,-0.9968235189333388,-0.9265643634558853,-1.0862035619428503
0.03993451580636043,1.0513332105520594,1.0293534285484016,-0.9763627345071094,-0.959658127097669,-1.0169032605602595
0.01521207057433191,0.8915329474183864,1.037276522040917,-0.9564917490766327,-0.8870741564523754,-1.1727910493919553
0.014305675835715459,0.9836761515996918,1.063063239178731,-0.977391626423384,-0.9824603503167306,-1.0465995585348953
0.04942830536122328,0.9183977812343754,1.060258697420724,-0.9812743284775606,-0.9457421099154659,-1.0626306008513786
0.048417406958745024,0.9170904012733354,1.04025486256627,-0.9840492702370989,-0.8915476497860149,-1.1203945959437798
0.023187925244140484,0.9560888688392605,1.110327764089988,-0.9732590904660938,-0.9536301783144792,-1.0143317301278383
0.03382395578645678,0.9139213780286832,1.1102176207389314,-0.9760833845901522,-0.9285268225873337,-1.0597092850397147
0.05333196175156346,0.9437077459478791,1.0296162856561486,-0.962892929862058,-0.9229550026054226,-1.0839425111290812
0.034569602253124054,0.9182244450431701,1.0917921572612066,-0.9824511002784351,-0.9261233590400311,-1.044091732778405
0.0182230930869261,1.0015661159482427,1.0510990510702618,-0.9795025936935761,-0.9157323024016097,-1.1178899068931312
-0.00037500806436407963,0.9036014434354017,1.1192240094082362,-0.9884590828435613,-0.9676848011081459,-1.0095796826870442
-0.00453557664620291,0.9519234918592299,1.073212701851833,-0.9768214395145287,-0.9457550954440861,-1.0711693837551306
-0.019039788605449304,1.0620827385348581,1.0378287559601462,-0.9872552916396428,-0.9399840864524928,-1.0592375339264761
0.004524747308218169,0.8807852256516903,1.0607539479647956,-0.9871263513202049,-0.9469221460233365,-1.1047675105010346
0.07921068187807445,0.865936786574066,1.1485539441921648,-0.968797795863267,-0.9320679940621713,-1.0028231654416697
0.00657990383563356,1.0163664862043484,1.024182900202712,-0.978655644417669,-0.9314606462585184,-1.0837329430002978
0.08630715457621835,1.0421110946171779,1.0067621765028358,-0.9439369963886277,-0.9326914169273963,-1.0237545290403731
-0.027210938098245707,0.9919040374147221,1.0289926885169396,-0.990990982679401,-0.93959129267574,-1.1093170066708054
-0.03234414381428197,0.9539721616621616,1.0609470170039272,-0.9698359671906188,-0.8372766901043877,-1.2278392594884047
