k,rho,nu,beta,delta
0.0034861046655863537,0.9350011990635466,1.0467085512035037,-0.9822761279461718,-1.0482627409655905
0.0346355896888126,0.9639461493282028,1.0187055758484138,-0.9658870604847402,-1.0374413709292543
-0.039548682570942656,1.016589521479997,0.9575145756969659,-0.9864380747394417,-1.0986242820239374
0.1007104702925532,0.9706086440774768,0.8038531765177308,-0.9632822854494008,-1.011964114110817
0.06456793783154188,0.9615411688412198,0.8683816672036659,-0.9696474728825987,-1.0838408063091494
0.03909551955373323,0.9799407450823732,0.9814297354385447,-0.985278562927798,-1.0044687267004964
0.09264251540149604,0.9353821874918009,0.9187589268789786,-0.971736584918695,-1.014764984088308
0.06360854769729091,0.9703474960112736,0.8684940612915647,-1.0019292598083056,-0.986643213036368
0.025106518148236057,0.96446083398533,0.9213637095198673,-0.9850551196908317,-1.0008253184233202
0.07842535736423784,0.9229523426962818,0.7878472036341504,-0.9717738421957363,-1.1086750384618167
-0.055170541962433456,0.9996364922940884,0.9473112352329434,-1.0119838310549036,-1.0586378433343073
0.05222619298637243,0.9430467486986112,1.0453736674900285,-0.9735155487599423,-1.0011521384158428
0.04251176419001573,0.9148201798135134,0.7906651828712669,-0.9672512169569298,-1.1449743205576837
0.05207135714748229,0.9800924601664345,0.927114096522054,-0.9855038280092423,-1.0202833657877346
0.07427137206438741,0.9713903860254222,0.9094830329388018,-0.97706191421368,-1.0257420975738198
0.01136197349471138,0.9561265429288572,0.9469564796547,-0.98276966724152,-1.1004845936189793
0.06453443696939304,0.9909963086042101,0.9382098472472865,-0.9779953864077109,-0.9863628292432467
0.0440355917196594,0.9771010550446195,0.8939330740202547,-0.996085468353272,-1.03359280977866
0.08605375094990857,0.9244959914263029,0.8487556682012344,-0.9767907454858593,-1.042883385683599
0.024918657538069242,0.9435668993690396,0.9173497146898298,-0.9719564273634758,-1.0376053965343441
0.0342124550376528,0.9838871482723445,0.9239831957579759,-0.9796254117407238,-1.0813102182173
0.02858398167979917,0.9834684959775735,0.886930826426808,-0.9981609551224853,-0.9901989146541926
0.03951279804755016,0.9698171746291953,0.8726825137630343,-0.9908892989264776,-1.0542191758975208
-0.0377444946143225,0.9855220633667557,1.0720979940531263,-0.9843763652433358,-1.0299919268652198
0.04096314921963731,0.9604378660894689,0.8321513934105739,-0.9751218802061465,-1.078809820161744
0.11014851803974071,0.9677513813611599,0.8328433663953574,-0.9757056777470655,-0.9763302460189112
0.04728530647231133,0.9529224542397986,0.9754246322213929,-0.9796869301269333,-1.0379776039674002
0.0470810035722099,0.9443809909190026,1.036231231579337,-0.9579635748944701,-1.0158839801702895
-0.06423451164367922,0.9586788505556427,1.0116279675292004,-1.0000192814703437,-1.1001474799266435
-0.03677699738557039,0.9429946229301374,0.8773029353994678,-0.9856894225240679,-1.208395159593809
0.0846579422008904,0.935899679774751,0.7971958969267438,-0.974410511826615,-1.0935110757005837
-0.0067978159490234,0.9586944770909327,1.0610240359365148,-0.9789782023061955,-1.0443080459632808
0.00048261026097917714,0.949973394794735,1.0201630821753134,-0.9738099949652032,-1.0556671965292184
0.0520173955905463,0.934046677614746,0.8791810312815518,-0.9882367297861956,-1.0832366384413332
0.06868182169785401,0.9531016640565002,0.864925461982779,-0.985557048014859,-0.9960869285617837
0.11181700922927928,0.9357244969713888,0.8350568103258083,-0.9720952272290313,-0.9880348053768188
0.09194538172571881,0.948258572085221,0.8803559906265153,-0.9900436946864377,-0.9888517225231387
-0.04833265279465762,0.9362050705727872,0.9812473445594386,-0.9756685326838933,-1.1658149847428554
-0.008299864317415556,0.9574730434956353,1.0696208372974965,-0.9879497589333197,-1.0089607147266206
0.07106007998130007,0.9618601487258371,0.9760039279799676,-0.990369909002622,-0.9941003397662915
0.06904309217995105,0.9616942906547421,0.9154451715269716,-0.9939792779417687,-0.9952866703487437
0.034240438159159135,0.9598976548558367,0.9139524474043681,-0.9755299364693613,-1.0117146181448597
-0.0028781265333232553,1.0046108812439867,0.9742963115851759,-0.9812613705706573,-1.0496735532214385
0.10347881254791311,0.9342889997584412,0.9714484528079765,-0.9732275573802461,-0.984279625269994
0.05273184560741534,0.932145285038058,0.9194229895461126,-0.984019973228948,-1.0278822839663841
-0.1024550115620706,0.9711410464697412,1.1203923993265306,-0.9798321682966137,-1.1205060141807308
0.02740708950017226,0.9376536786192433,0.9873071057093487,-0.9841761010293948,-1.061694447533764
0.0792448554594608,0.8935088150538377,0.8884155880904121,-0.9692173516230042,-1.0732272820613467
0.12599375274522612,0.9273922888014235,0.7962200539582454,-0.9649217695858603,-1.0568502666331199
0.013414843008238725,0.9814182879798776,0.9626197238057598,-0.9969717673212803,-1.0264336139851347
0.09903724581621114,0.9677213587829256,0.903945122106443,-0.9713117592100106,-0.9795325410312835
-9.313073227141741e-05,1.0053139454111477,1.0470080702262166,-0.9810768915972394,-0.9818875811891893
-0.047558983874660676,0.9328043593444362,1.0510120917390888,-0.9754880437904757,-1.1426344860259317
0.03061299581122301,0.9781464942870578,0.9022262246525056,-0.9893599932906932,-1.04154095856532
