k,rho,nu,beta,delta
-0.0003462860807767476,1.0133858173475727,0.972533014374459,-0.984764425159759,-1.0510291962406155
0.033234955820692164,1.0464330661750496,0.9680685542803794,-0.9695344956900591,-1.0136738137769203
-0.0040638755048847675,0.937261888703601,0.9752641383398438,-0.9880477557200371,-1.0859701809273237
0.0931002231186866,0.851084085218093,0.9635951516465222,-0.9563281165300479,-0.9966812432796408
0.05529716276724312,0.8682783545720973,0.930245353300163,-0.9683632508398567,-1.0906426033740466
0.05334916846659249,0.9965651761448074,0.9524670016435925,-0.9815820030238454,-0.9939546250184177
0.07922016251864414,0.9008670271173052,0.9735624206580262,-0.9650278520577756,-1.0089552494875806
0.06156145866480178,0.8860925329949264,0.991133250947908,-0.9797077449593842,-0.9669175615290946
0.005919302641930413,0.9340427498471106,0.9740611001452035,-0.9965285021427038,-1.006532964701642
0.10866840375577236,0.8060319488685461,0.8925871945493806,-0.9610415874737634,-1.0959851472358066
-0.019361931260155174,0.9265586962182533,0.9759860818400631,-0.989828813599642,-1.044683578735519
0.04164287518617739,1.0412828427485132,0.9764030925935476,-0.9773609039928197,-1.0046238693433027
0.06629770126448037,0.7827571317164206,0.9053967862083006,-0.9583573113789219,-1.1216282495089145
0.03151058375600049,0.9350884638949367,0.993251404905288,-0.9941855715570287,-1.0067687708067954
0.05097470816096056,0.9182561954191657,0.9510291395008043,-0.9861016407090332,-1.0342366344766658
0.011127654696421407,0.9197379444843099,0.9729854381820416,-0.9766511435699414,-1.091537169323382
0.09660979801503106,0.9080519349550873,0.9628388694574885,-0.980760866752582,-0.951037639223624
0.02135761969408631,0.8791663800969434,1.011771438720588,-0.9876655094617252,-1.0467934760444064
0.07672051336689141,0.8626375756986074,0.9322452198119136,-0.9556230037687756,-1.0630456686213634
0.04781462095827954,0.8719488195798043,0.9837513609686641,-0.9755395473337175,-1.0156724858640507
0.01635942106070326,0.9810360441807507,1.0027213559716792,-0.9754436100070507,-1.0788897460313613
0.03913252910085263,0.9097783183224595,0.9508293223029347,-0.9780537430477609,-1.0069687548256976
0.038022341805148796,0.892750988773761,0.9396390015504125,-0.9900770423641688,-1.0385883949205699
-0.06884389792392454,1.1143064822816644,0.9890665631613248,-1.001111944311877,-1.0196034286394942
0.06098953215986769,0.8253734768196233,0.9038397906746186,-0.9871835139931617,-1.0811445555768708
0.1206725073286602,0.8361422781688466,1.0016533271148669,-0.957773546122936,-0.9563765960818877
0.030620342955808705,0.9922335631498286,0.966427667065694,-0.9686256820672352,-1.0514631312420817
